Complaint Type,Descriptor,calls
Violation of Park Rules,Unlicensed Vendors,289
Violation of Park Rules,Obstructing Public Use,188
Violation of Park Rules,BBQ Outside Authorized Area,26
Violation of Park Rules,Biking/Rollerblading off Path,11
Violation of Park Rules,Smoking,7
Violation of Park Rules,Unsafe Use of Playground,7
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Structure - Outdoors,355
Maintenance or Facility,Structure - Indoors,183
Maintenance or Facility,Unsecured Facility,108
Maintenance or Facility,Garbage or Litter,102
Maintenance or Facility,Graffiti or Vandalism,97
Maintenance or Facility,Rodent Sighting,33
Maintenance or Facility,Snow or Ice,33
Maintenance or Facility,Grass/Weeds,31
Maintenance or Facility,Hours of Operation,26
Maintenance or Facility,Broken Glass,9
Illegal Tree Damage,Unauthorized Tree Pruning,4
Illegal Tree Damage,Unauthorized Tree Removal,2
Dead Tree,Dead/Dying Tree,6
Damaged Tree,Tree Alive - in Poor Condition,7
Damaged Tree,Branch Cracked and Will Fall,5
Damaged Tree,Branch or Limb Has Fallen Down,4
Damaged Tree,Tree Leaning/Uprooted,1
DPR Internal,Aided/Injury,186
DPR Internal,Locker Break-in/Incident,31
DPR Internal,Property,28
DPR Internal,Lost/Missing Person,9
DPR Internal,Illegal Dumping,2
Animal in a Park,Dog Off Leash,68
Animal in a Park,Injured Wildlife,51
Animal in a Park,Domestic Strays,44
Animal in a Park,Dead Animal,25
Animal in a Park,Wildlife Sighting,18
Animal in a Park,Removing Wildlife,15
Animal in a Park,Animal Waste,4
