Complaint Type,Descriptor,calls
Violation of Park Rules,Smoking,19
Violation of Park Rules,Obstructing Public Use,16
Violation of Park Rules,Unlicensed Vendors,15
Violation of Park Rules,Unsafe Use of Playground,8
Violation of Park Rules,BBQ Outside Authorized Area,3
Violation of Park Rules,Biking/Rollerblading off Path,1
Violation of Park Rules,Unauthorized Film Shoot,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,8
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Hitting Building,3
Overgrown Tree/Branches,Clear Street Light,1
Maintenance or Facility,Structure - Outdoors,155
Maintenance or Facility,Garbage or Litter,68
Maintenance or Facility,Structure - Indoors,37
Maintenance or Facility,Snow or Ice,23
Maintenance or Facility,Unsecured Facility,17
Maintenance or Facility,Grass/Weeds,11
Maintenance or Facility,Rodent Sighting,6
Maintenance or Facility,Hours of Operation,4
Maintenance or Facility,Graffiti or Vandalism,3
Maintenance or Facility,Broken Glass,2
Illegal Tree Damage,Branches Damaged,7
Illegal Tree Damage,Unauthorized Tree Removal,5
Illegal Tree Damage,Unauthorized Tree Pruning,3
Illegal Tree Damage,Trunk Damaged,2
Dead Tree,Dead/Dying Tree,1
Damaged Tree,Tree Alive - in Poor Condition,12
Damaged Tree,Tree Leaning/Uprooted,6
Damaged Tree,Branch or Limb Has Fallen Down,5
Damaged Tree,Entire Tree Has Fallen Down,5
Damaged Tree,Tree Trunk Split,5
Damaged Tree,Branch Cracked and Will Fall,3
DPR Internal,Aided/Injury,25
DPR Internal,Locker Break-in/Incident,1
DPR Internal,Lost/Missing Person,1
Animal in a Park,Dog Off Leash,13
Animal in a Park,Dead Animal,6
Animal in a Park,Injured Wildlife,3
Animal in a Park,Removing Wildlife,2
Animal in a Park,Wildlife Sighting,2
Animal in a Park,Animal Waste,1
