Complaint Type,Descriptor,calls
Violation of Park Rules,Smoking,55
Violation of Park Rules,Obstructing Public Use,20
Violation of Park Rules,BBQ Outside Authorized Area,16
Violation of Park Rules,Unsafe Use of Playground,8
Violation of Park Rules,Unlicensed Vendors,4
Violation of Park Rules,Unauthorized Posting of Signs,2
Violation of Park Rules,Biking/Rollerblading off Path,1
Violation of Park Rules,Unauthorized Climbing,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Hitting Building,5
Maintenance or Facility,Structure - Outdoors,562
Maintenance or Facility,Garbage or Litter,267
Maintenance or Facility,Unsecured Facility,66
Maintenance or Facility,Grass/Weeds,47
Maintenance or Facility,Structure - Indoors,46
Maintenance or Facility,Hours of Operation,40
Maintenance or Facility,Graffiti or Vandalism,30
Maintenance or Facility,Broken Glass,15
Maintenance or Facility,Snow or Ice,11
Maintenance or Facility,Rodent Sighting,6
Illegal Tree Damage,Branches Damaged,6
Illegal Tree Damage,Roots Damaged,5
Illegal Tree Damage,Trunk Damaged,3
Illegal Tree Damage,Unauthorized Tree Removal,1
Dead Tree,Dead/Dying Tree,4
Damaged Tree,Tree Alive - in Poor Condition,28
Damaged Tree,Branch or Limb Has Fallen Down,7
Damaged Tree,Tree Leaning/Uprooted,7
Damaged Tree,Branch Cracked and Will Fall,4
Damaged Tree,Entire Tree Has Fallen Down,4
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,44
DPR Internal,Property,4
DPR Internal,Lost/Missing Person,3
DPR Internal,Illegal Dumping,1
Animal in a Park,Dead Animal,45
Animal in a Park,Dog Off Leash,33
Animal in a Park,Injured Wildlife,24
Animal in a Park,Domestic Strays,23
Animal in a Park,Removing Wildlife,17
Animal in a Park,Wildlife Sighting,13
Animal in a Park,Animal Waste,12
