Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,24
Violation of Park Rules,Unsafe Use of Playground,16
Violation of Park Rules,BBQ Outside Authorized Area,11
Violation of Park Rules,Unlicensed Vendors,11
Violation of Park Rules,Smoking,7
Violation of Park Rules,Unauthorized Posting of Signs,4
Violation of Park Rules,Biking/Rollerblading off Path,1
Violation of Park Rules,Unauthorized Film Shoot,1
Violation of Park Rules,Use of Newly Seeded Lawn,1
Overgrown Tree/Branches,Hitting Building,4
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Dead Branches in Tree,2
Overgrown Tree/Branches,Clear Street Light,1
Maintenance or Facility,Structure - Outdoors,243
Maintenance or Facility,Garbage or Litter,108
Maintenance or Facility,Rodent Sighting,64
Maintenance or Facility,Snow or Ice,57
Maintenance or Facility,Grass/Weeds,41
Maintenance or Facility,Unsecured Facility,28
Maintenance or Facility,Structure - Indoors,27
Maintenance or Facility,Graffiti or Vandalism,21
Maintenance or Facility,Hours of Operation,20
Maintenance or Facility,Broken Glass,6
Illegal Tree Damage,Branches Damaged,8
Illegal Tree Damage,Unauthorized Tree Removal,4
Illegal Tree Damage,Trunk Damaged,3
Illegal Tree Damage,Bicycle Chained to Tree,1
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,7
Damaged Tree,Tree Leaning/Uprooted,18
Damaged Tree,Branch or Limb Has Fallen Down,17
Damaged Tree,Tree Alive - in Poor Condition,14
Damaged Tree,Entire Tree Has Fallen Down,10
Damaged Tree,Branch Cracked and Will Fall,8
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,9
Animal in a Park,Animal Waste,27
Animal in a Park,Dog Off Leash,27
Animal in a Park,Dead Animal,11
Animal in a Park,Domestic Strays,6
Animal in a Park,Injured Wildlife,3
Animal in a Park,Wildlife Sighting,2
Animal in a Park,Removing Wildlife,1
