Complaint Type,Descriptor,calls
Violation of Park Rules,Unlicensed Vendors,125
Violation of Park Rules,Obstructing Public Use,35
Violation of Park Rules,BBQ Outside Authorized Area,23
Violation of Park Rules,Unsafe Use of Playground,11
Violation of Park Rules,Smoking,4
Violation of Park Rules,Unauthorized Posting of Signs,2
Violation of Park Rules,Biking/Rollerblading off Path,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,9
Overgrown Tree/Branches,Blocking Street,3
Overgrown Tree/Branches,Clear Street Light,2
Overgrown Tree/Branches,Hitting Building,2
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Structure - Outdoors,140
Maintenance or Facility,Garbage or Litter,51
Maintenance or Facility,Structure - Indoors,25
Maintenance or Facility,Rodent Sighting,22
Maintenance or Facility,Grass/Weeds,20
Maintenance or Facility,Unsecured Facility,20
Maintenance or Facility,Snow or Ice,13
Maintenance or Facility,Graffiti or Vandalism,12
Maintenance or Facility,Hours of Operation,7
Maintenance or Facility,Broken Glass,6
Illegal Tree Damage,Roots Damaged,9
Illegal Tree Damage,Branches Damaged,8
Illegal Tree Damage,Trunk Damaged,6
Illegal Tree Damage,Unauthorized Tree Removal,4
Illegal Tree Damage,Unauthorized Tree Pruning,2
Illegal Tree Damage,Bicycle Chained to Tree,1
Dead Tree,Dead/Dying Tree,1
Damaged Tree,Tree Alive - in Poor Condition,22
Damaged Tree,Branch or Limb Has Fallen Down,8
Damaged Tree,Branch Cracked and Will Fall,5
Damaged Tree,Tree Leaning/Uprooted,5
Damaged Tree,Entire Tree Has Fallen Down,2
Damaged Tree,Tree Trunk Split,2
DPR Internal,Aided/Injury,6
DPR Internal,Beach/Pool Closure,1
DPR Internal,Property,1
Animal in a Park,Dog Off Leash,17
Animal in a Park,Animal Waste,10
Animal in a Park,Wildlife Sighting,9
Animal in a Park,Injured Wildlife,6
Animal in a Park,Domestic Strays,3
Animal in a Park,Removing Wildlife,3
