Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,54
Violation of Park Rules,Unlicensed Vendors,12
Violation of Park Rules,Biking/Rollerblading off Path,9
Violation of Park Rules,Unsafe Use of Playground,9
Violation of Park Rules,BBQ Outside Authorized Area,7
Violation of Park Rules,Smoking,4
Violation of Park Rules,Removing Flowers/Plants,1
Violation of Park Rules,Unauthorized Climbing,1
Violation of Park Rules,Unauthorized Film Shoot,1
Violation of Park Rules,Unauthorized Posting of Signs,1
Overgrown Tree/Branches,Hitting Building,7
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Structure - Outdoors,247
Maintenance or Facility,Garbage or Litter,57
Maintenance or Facility,Structure - Indoors,37
Maintenance or Facility,Unsecured Facility,29
Maintenance or Facility,Snow or Ice,18
Maintenance or Facility,Graffiti or Vandalism,17
Maintenance or Facility,Grass/Weeds,17
Maintenance or Facility,Hours of Operation,17
Maintenance or Facility,Rodent Sighting,10
Maintenance or Facility,Broken Glass,3
Illegal Tree Damage,Branches Damaged,1
Illegal Tree Damage,Unauthorized Tree Removal,1
Dead Tree,Dead/Dying Tree,8
Damaged Tree,Branch or Limb Has Fallen Down,7
Damaged Tree,Entire Tree Has Fallen Down,7
Damaged Tree,Branch Cracked and Will Fall,5
Damaged Tree,Tree Leaning/Uprooted,3
Damaged Tree,Tree Alive - in Poor Condition,2
DPR Internal,Aided/Injury,15
DPR Internal,Property,2
DPR Internal,Lost/Missing Person,1
Animal in a Park,Dog Off Leash,40
Animal in a Park,Dead Animal,30
Animal in a Park,Injured Wildlife,28
Animal in a Park,Domestic Strays,26
Animal in a Park,Wildlife Sighting,21
Animal in a Park,Removing Wildlife,11
Animal in a Park,Animal Waste,6
