Complaint Type,Descriptor,calls
Violation of Park Rules,Unsafe Use of Playground,19
Violation of Park Rules,Obstructing Public Use,15
Violation of Park Rules,BBQ Outside Authorized Area,5
Violation of Park Rules,Biking/Rollerblading off Path,3
Violation of Park Rules,Unauthorized Posting of Signs,3
Violation of Park Rules,Unlicensed Vendors,2
Violation of Park Rules,Smoking,1
Violation of Park Rules,Use of Newly Seeded Lawn,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,3
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,2
Overgrown Tree/Branches,Hitting Building,9
Overgrown Tree/Branches,Dead Branches in Tree,8
Overgrown Tree/Branches,Blocking Street,4
Overgrown Tree/Branches,Hitting Power/Phone Lines,4
Overgrown Tree/Branches,Clear Street Light,1
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,452
Maintenance or Facility,Garbage or Litter,116
Maintenance or Facility,Grass/Weeds,94
Maintenance or Facility,Graffiti or Vandalism,81
Maintenance or Facility,Structure - Indoors,79
Maintenance or Facility,Snow or Ice,69
Maintenance or Facility,Hours of Operation,42
Maintenance or Facility,Unsecured Facility,39
Maintenance or Facility,Broken Glass,9
Maintenance or Facility,Rodent Sighting,8
Illegal Tree Damage,Branches Damaged,13
Illegal Tree Damage,Unauthorized Tree Removal,7
Illegal Tree Damage,Roots Damaged,6
Illegal Tree Damage,Trunk Damaged,6
Illegal Tree Damage,Unauthorized Tree Pruning,3
Dead Tree,Dead/Dying Tree,35
Damaged Tree,Tree Alive - in Poor Condition,52
Damaged Tree,Branch or Limb Has Fallen Down,31
Damaged Tree,Branch Cracked and Will Fall,25
Damaged Tree,Entire Tree Has Fallen Down,22
Damaged Tree,Tree Leaning/Uprooted,13
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,13
DPR Internal,Illegal Dumping,1
Animal in a Park,Dog Off Leash,62
Animal in a Park,Dead Animal,27
Animal in a Park,Domestic Strays,17
Animal in a Park,Injured Wildlife,16
Animal in a Park,Wildlife Sighting,13
Animal in a Park,Animal Waste,11
Animal in a Park,Removing Wildlife,11
