Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,15
Violation of Park Rules,Unlicensed Vendors,15
Violation of Park Rules,Unsafe Use of Playground,5
Violation of Park Rules,Smoking,4
Violation of Park Rules,BBQ Outside Authorized Area,2
Violation of Park Rules,Biking/Rollerblading off Path,2
Violation of Park Rules,Removing Flowers/Plants,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,8
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,2
Overgrown Tree/Branches,Hitting Building,8
Overgrown Tree/Branches,Dead Branches in Tree,6
Overgrown Tree/Branches,Blocking Street,4
Overgrown Tree/Branches,Hitting Power/Phone Lines,3
Maintenance or Facility,Structure - Outdoors,272
Maintenance or Facility,Garbage or Litter,114
Maintenance or Facility,Grass/Weeds,80
Maintenance or Facility,Structure - Indoors,49
Maintenance or Facility,Snow or Ice,34
Maintenance or Facility,Unsecured Facility,29
Maintenance or Facility,Graffiti or Vandalism,17
Maintenance or Facility,Hours of Operation,14
Maintenance or Facility,Rodent Sighting,12
Maintenance or Facility,Broken Glass,8
Illegal Tree Damage,Branches Damaged,16
Illegal Tree Damage,Roots Damaged,10
Illegal Tree Damage,Trunk Damaged,6
Illegal Tree Damage,Unauthorized Tree Removal,4
Dead Tree,Dead/Dying Tree,19
Damaged Tree,Tree Alive - in Poor Condition,43
Damaged Tree,Branch or Limb Has Fallen Down,36
Damaged Tree,Tree Leaning/Uprooted,10
Damaged Tree,Branch Cracked and Will Fall,9
Damaged Tree,Entire Tree Has Fallen Down,7
Damaged Tree,Tree Trunk Split,7
DPR Internal,Aided/Injury,2
DPR Internal,Beach/Pool Closure,1
Animal in a Park,Dog Off Leash,25
Animal in a Park,Domestic Strays,20
Animal in a Park,Dead Animal,19
Animal in a Park,Animal Waste,10
Animal in a Park,Injured Wildlife,10
Animal in a Park,Removing Wildlife,7
Animal in a Park,Wildlife Sighting,2
