Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,48
Violation of Park Rules,Obstructing Public Use,47
Violation of Park Rules,Unlicensed Vendors,39
Violation of Park Rules,Smoking,17
Violation of Park Rules,Unsafe Use of Playground,17
Violation of Park Rules,Biking/Rollerblading off Path,3
Violation of Park Rules,Removing Flowers/Plants,2
Violation of Park Rules,Unauthorized Film Shoot,2
Violation of Park Rules,Unauthorized Posting of Signs,1
Violation of Park Rules,Use of Newly Seeded Lawn,1
Overgrown Tree/Branches,Hitting Building,5
Overgrown Tree/Branches,Dead Branches in Tree,3
Overgrown Tree/Branches,Hitting Power/Phone Lines,1
Maintenance or Facility,Structure - Outdoors,659
Maintenance or Facility,Garbage or Litter,391
Maintenance or Facility,Structure - Indoors,97
Maintenance or Facility,Grass/Weeds,82
Maintenance or Facility,Unsecured Facility,59
Maintenance or Facility,Snow or Ice,52
Maintenance or Facility,Hours of Operation,49
Maintenance or Facility,Broken Glass,44
Maintenance or Facility,Rodent Sighting,40
Maintenance or Facility,Graffiti or Vandalism,35
Illegal Tree Damage,Branches Damaged,11
Illegal Tree Damage,Roots Damaged,8
Illegal Tree Damage,Unauthorized Tree Pruning,6
Illegal Tree Damage,Trunk Damaged,5
Illegal Tree Damage,Unauthorized Tree Removal,5
Illegal Tree Damage,Bicycle Chained to Tree,4
Dead Tree,Dead/Dying Tree,7
Damaged Tree,Tree Alive - in Poor Condition,30
Damaged Tree,Branch or Limb Has Fallen Down,23
Damaged Tree,Entire Tree Has Fallen Down,23
Damaged Tree,Tree Leaning/Uprooted,17
Damaged Tree,Branch Cracked and Will Fall,14
Damaged Tree,Tree Trunk Split,4
DPR Internal,Aided/Injury,31
DPR Internal,Locker Break-in/Incident,2
DPR Internal,Property,1
Animal in a Park,Dog Off Leash,60
Animal in a Park,Dead Animal,38
Animal in a Park,Injured Wildlife,21
Animal in a Park,Animal Waste,14
Animal in a Park,Domestic Strays,11
Animal in a Park,Wildlife Sighting,7
Animal in a Park,Removing Wildlife,6
