Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,17
Violation of Park Rules,Unsafe Use of Playground,8
Violation of Park Rules,Smoking,4
Violation of Park Rules,Unlicensed Vendors,4
Violation of Park Rules,BBQ Outside Authorized Area,3
Violation of Park Rules,Removing Flowers/Plants,2
Violation of Park Rules,Unauthorized Posting of Signs,1
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,2
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,2
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Structure - Outdoors,206
Maintenance or Facility,Garbage or Litter,39
Maintenance or Facility,Unsecured Facility,28
Maintenance or Facility,Grass/Weeds,24
Maintenance or Facility,Snow or Ice,21
Maintenance or Facility,Graffiti or Vandalism,17
Maintenance or Facility,Structure - Indoors,16
Maintenance or Facility,Rodent Sighting,15
Maintenance or Facility,Broken Glass,7
Maintenance or Facility,Hours of Operation,5
Illegal Tree Damage,Branches Damaged,24
Illegal Tree Damage,Roots Damaged,11
Illegal Tree Damage,Trunk Damaged,8
Illegal Tree Damage,Unauthorized Tree Removal,3
Dead Tree,Dead/Dying Tree,7
Damaged Tree,Tree Alive - in Poor Condition,38
Damaged Tree,Branch or Limb Has Fallen Down,20
Damaged Tree,Branch Cracked and Will Fall,19
Damaged Tree,Tree Leaning/Uprooted,11
Damaged Tree,Entire Tree Has Fallen Down,9
DPR Internal,Aided/Injury,5
Animal in a Park,Dead Animal,14
Animal in a Park,Dog Off Leash,14
Animal in a Park,Animal Waste,8
Animal in a Park,Wildlife Sighting,4
Animal in a Park,Domestic Strays,3
Animal in a Park,Injured Wildlife,2
Animal in a Park,Removing Wildlife,2
