Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,34
Violation of Park Rules,Unsafe Use of Playground,29
Violation of Park Rules,Smoking,10
Violation of Park Rules,BBQ Outside Authorized Area,6
Violation of Park Rules,Unlicensed Vendors,3
Violation of Park Rules,Unauthorized Posting of Signs,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,6
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,2
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,1
Overgrown Tree/Branches,Hitting Building,6
Overgrown Tree/Branches,Blocking Street,3
Overgrown Tree/Branches,Dead Branches in Tree,3
Overgrown Tree/Branches,Clear Street Light,1
Overgrown Tree/Branches,Hitting Power/Phone Lines,1
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,391
Maintenance or Facility,Garbage or Litter,140
Maintenance or Facility,Structure - Indoors,64
Maintenance or Facility,Grass/Weeds,55
Maintenance or Facility,Snow or Ice,46
Maintenance or Facility,Graffiti or Vandalism,23
Maintenance or Facility,Unsecured Facility,23
Maintenance or Facility,Hours of Operation,20
Maintenance or Facility,Rodent Sighting,18
Maintenance or Facility,Broken Glass,6
Illegal Tree Damage,Branches Damaged,25
Illegal Tree Damage,Roots Damaged,10
Illegal Tree Damage,Trunk Damaged,7
Illegal Tree Damage,Unauthorized Tree Removal,7
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,11
Damaged Tree,Branch or Limb Has Fallen Down,30
Damaged Tree,Branch Cracked and Will Fall,24
Damaged Tree,Tree Alive - in Poor Condition,21
Damaged Tree,Entire Tree Has Fallen Down,12
Damaged Tree,Tree Leaning/Uprooted,11
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,14
Animal in a Park,Dog Off Leash,22
Animal in a Park,Dead Animal,21
Animal in a Park,Injured Wildlife,17
Animal in a Park,Wildlife Sighting,16
Animal in a Park,Animal Waste,15
Animal in a Park,Domestic Strays,14
Animal in a Park,Removing Wildlife,9
