Complaint Type,Descriptor,calls
Violation of Park Rules,Unlicensed Vendors,15
Violation of Park Rules,Obstructing Public Use,14
Violation of Park Rules,BBQ Outside Authorized Area,2
Violation of Park Rules,Smoking,1
Violation of Park Rules,Unsafe Use of Playground,1
Overgrown Tree/Branches,Dead Branches in Tree,2
Overgrown Tree/Branches,Hitting Power/Phone Lines,2
Overgrown Tree/Branches,Blocking Street,1
Overgrown Tree/Branches,Hitting Building,1
Maintenance or Facility,Structure - Outdoors,119
Maintenance or Facility,Garbage or Litter,40
Maintenance or Facility,Structure - Indoors,22
Maintenance or Facility,Snow or Ice,13
Maintenance or Facility,Grass/Weeds,11
Maintenance or Facility,Unsecured Facility,10
Maintenance or Facility,Hours of Operation,9
Maintenance or Facility,Rodent Sighting,5
Maintenance or Facility,Broken Glass,4
Maintenance or Facility,Graffiti or Vandalism,4
Illegal Tree Damage,Branches Damaged,19
Illegal Tree Damage,Roots Damaged,10
Illegal Tree Damage,Trunk Damaged,6
Illegal Tree Damage,Unauthorized Tree Removal,2
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,6
Damaged Tree,Branch Cracked and Will Fall,32
Damaged Tree,Branch or Limb Has Fallen Down,26
Damaged Tree,Tree Alive - in Poor Condition,25
Damaged Tree,Entire Tree Has Fallen Down,9
Damaged Tree,Tree Leaning/Uprooted,7
Damaged Tree,Tree Trunk Split,6
DPR Internal,Aided/Injury,13
Animal in a Park,Dog Off Leash,13
Animal in a Park,Domestic Strays,9
Animal in a Park,Dead Animal,5
Animal in a Park,Wildlife Sighting,4
Animal in a Park,Animal Waste,3
Animal in a Park,Injured Wildlife,2
Animal in a Park,Removing Wildlife,2
