Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,108
Violation of Park Rules,Unlicensed Vendors,69
Violation of Park Rules,BBQ Outside Authorized Area,54
Violation of Park Rules,Unsafe Use of Playground,23
Violation of Park Rules,Smoking,13
Violation of Park Rules,Removing Flowers/Plants,1
Violation of Park Rules,Unauthorized Posting of Signs,1
Violation of Park Rules,Use of Newly Seeded Lawn,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,4
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Hitting Building,9
Overgrown Tree/Branches,Dead Branches in Tree,7
Overgrown Tree/Branches,Blocking Street,4
Overgrown Tree/Branches,Hitting Power/Phone Lines,3
Maintenance or Facility,Structure - Outdoors,407
Maintenance or Facility,Garbage or Litter,105
Maintenance or Facility,Structure - Indoors,82
Maintenance or Facility,Unsecured Facility,57
Maintenance or Facility,Rodent Sighting,51
Maintenance or Facility,Snow or Ice,43
Maintenance or Facility,Graffiti or Vandalism,37
Maintenance or Facility,Hours of Operation,35
Maintenance or Facility,Grass/Weeds,21
Maintenance or Facility,Broken Glass,11
Illegal Tree Damage,Branches Damaged,21
Illegal Tree Damage,Trunk Damaged,10
Illegal Tree Damage,Unauthorized Tree Removal,6
Illegal Tree Damage,Roots Damaged,4
Illegal Tree Damage,Bicycle Chained to Tree,2
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,19
Damaged Tree,Tree Alive - in Poor Condition,36
Damaged Tree,Branch or Limb Has Fallen Down,28
Damaged Tree,Entire Tree Has Fallen Down,26
Damaged Tree,Branch Cracked and Will Fall,20
Damaged Tree,Tree Leaning/Uprooted,14
Damaged Tree,Tree Trunk Split,3
DPR Internal,Aided/Injury,25
DPR Internal,Lost/Missing Person,4
Animal in a Park,Dog Off Leash,101
Animal in a Park,Domestic Strays,29
Animal in a Park,Dead Animal,21
Animal in a Park,Animal Waste,19
Animal in a Park,Wildlife Sighting,13
Animal in a Park,Injured Wildlife,12
Animal in a Park,Removing Wildlife,12
