Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,44
Violation of Park Rules,BBQ Outside Authorized Area,9
Violation of Park Rules,Smoking,7
Violation of Park Rules,Unlicensed Vendors,6
Violation of Park Rules,Unsafe Use of Playground,4
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,5
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,2
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Hitting Building,11
Overgrown Tree/Branches,Hitting Power/Phone Lines,8
Overgrown Tree/Branches,Blocking Street,6
Overgrown Tree/Branches,Dead Branches in Tree,2
Overgrown Tree/Branches,Clear Street Light,1
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,432
Maintenance or Facility,Garbage or Litter,267
Maintenance or Facility,Structure - Indoors,226
Maintenance or Facility,Grass/Weeds,172
Maintenance or Facility,Snow or Ice,66
Maintenance or Facility,Unsecured Facility,42
Maintenance or Facility,Hours of Operation,32
Maintenance or Facility,Broken Glass,21
Maintenance or Facility,Graffiti or Vandalism,15
Maintenance or Facility,Rodent Sighting,15
Illegal Tree Damage,Branches Damaged,11
Illegal Tree Damage,Roots Damaged,7
Illegal Tree Damage,Trunk Damaged,7
Illegal Tree Damage,Unauthorized Tree Removal,2
Illegal Tree Damage,Bicycle Chained to Tree,1
Dead Tree,Dead/Dying Tree,7
Damaged Tree,Tree Alive - in Poor Condition,19
Damaged Tree,Branch or Limb Has Fallen Down,16
Damaged Tree,Tree Leaning/Uprooted,10
Damaged Tree,Branch Cracked and Will Fall,7
Damaged Tree,Entire Tree Has Fallen Down,3
Damaged Tree,Tree Trunk Split,2
DPR Internal,Aided/Injury,28
DPR Internal,Illegal Dumping,1
DPR Internal,Locker Break-in/Incident,1
DPR Internal,Lost/Missing Person,1
Animal in a Park,Dead Animal,42
Animal in a Park,Dog Off Leash,37
Animal in a Park,Domestic Strays,36
Animal in a Park,Animal Waste,20
Animal in a Park,Injured Wildlife,12
Animal in a Park,Wildlife Sighting,10
Animal in a Park,Removing Wildlife,5
