Complaint Type,Descriptor,calls
Violation of Park Rules,Smoking,44
Violation of Park Rules,Obstructing Public Use,22
Violation of Park Rules,Unsafe Use of Playground,17
Violation of Park Rules,Biking/Rollerblading off Path,3
Violation of Park Rules,BBQ Outside Authorized Area,1
Violation of Park Rules,Unlicensed Vendors,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,2
Overgrown Tree/Branches,Dead Branches in Tree,4
Overgrown Tree/Branches,Hitting Building,2
Overgrown Tree/Branches,Clear Street Light,1
Maintenance or Facility,Structure - Outdoors,239
Maintenance or Facility,Garbage or Litter,104
Maintenance or Facility,Structure - Indoors,69
Maintenance or Facility,Grass/Weeds,28
Maintenance or Facility,Snow or Ice,27
Maintenance or Facility,Unsecured Facility,22
Maintenance or Facility,Graffiti or Vandalism,21
Maintenance or Facility,Hours of Operation,21
Maintenance or Facility,Rodent Sighting,21
Maintenance or Facility,Broken Glass,11
Illegal Tree Damage,Branches Damaged,5
Illegal Tree Damage,Unauthorized Tree Removal,2
Illegal Tree Damage,Trunk Damaged,1
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,2
Damaged Tree,Branch or Limb Has Fallen Down,20
Damaged Tree,Tree Alive - in Poor Condition,13
Damaged Tree,Entire Tree Has Fallen Down,7
Damaged Tree,Branch Cracked and Will Fall,4
Damaged Tree,Tree Leaning/Uprooted,3
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,13
DPR Internal,Property,1
Animal in a Park,Dog Off Leash,32
Animal in a Park,Injured Wildlife,10
Animal in a Park,Animal Waste,6
Animal in a Park,Dead Animal,6
Animal in a Park,Removing Wildlife,6
Animal in a Park,Wildlife Sighting,4
Animal in a Park,Domestic Strays,2
