,cleanName,NAME,Type,valid,parkDistrict,lat,lon
774,middle village playground,middle village playground,park_direct,av,Q-05,-73.8736264119,40.7100952402
775,pool - highbridge,highbridge pool,pool,av,M-12A,-73.9339,40.8426
776,penn triangle,penn triangle,park_direct,av,B-01,-73.9608538891,40.7007620668
777,central park - west 100th street playground,central park,empiric,av,M-13,-73.9655584012,40.7824838384
778,underhill playground - brooklyn,underhill playground,pgs,av,B-08,-73.9657,40.6767
779,underhill playground - brooklyn,underhill playground,pgs,av,Q-11,-73.7879,40.7448
780,aesop playground,aesop playground,pgs,av,R-03,-74.2299,40.5095
781,harlem lane park,harlem lane playground,other,v,M-10,-73.934877318,40.825980228
782,washington market park,washington market park,park_direct,av,M-01,-74.0115533249,40.7170907413
783,morris garden,morris garden,park_direct,av,X-05,-73.9040031383,40.8545658036
784,pool - wagner,wagner pool,pool,v,M-11,-73.933,40.802
785,burns playground,burns playground,park_direct,av,X-11,-73.8365974064,40.8632566017
786,bowne playground,bowne playground,park_direct,av,Q-07,-73.8248657213,40.7581853238
787,moore playground,moore playground,park_direct,av,M-11,-73.9384926871,40.8093770216
788,pool - liberty,liberty pool,pool,av,Q-12,-73.7839,40.7016
789,pool - tottenville,tottenville pool,pool,av,R-03,-74.2352,40.5056
790,crescent beach,orchard beach and promenade,beach,av,X-15A,-73.7938,40.8664
791,ennis park,ennis playground,other,v,B-06,-73.9938198339,40.6707402402
792,walter ward playground - ps 207,walter ward playground,pgs,av,Q-10,-73.8439,40.6577
793,aqueduct walk - ben abrams playground,ben abrams playground,pgs,v,X-11,-73.8701,40.8545
794,walton ave aa park,walton park,other,v,X-05,-73.9051785147,40.8552591765
795,rockaway beach and boardwalk - beach 9th st playground,beach 9th street playground,pgs,v,Q-14,-73.7453,40.5959
796,fish playground,fish playground,park_direct,av,B-16,-73.9146780895,40.6782118116
797,latimer playground,latimer playground,park_direct,av,Q-12,-73.7862479305,40.6965208971
798,colucci playground,colucci playground,park_direct,av,X-10,-73.8345824781,40.8527786238
799,pool - roy wilkins,roy wilkins pool,pool,av,Q-12,-73.7695,40.6873
800,skyline playground,skyline playground,park_direct,av,R-01,-74.0895230694,40.6393996338
801,bay terrace playground - ps 169,bay terrace playground,pgs,av,Q-07,-73.7776,40.7823
802,tappen park,tappen park,park_direct,av,R-01,-74.07687567,40.6268106728
803,crotona park - boxcar playground,crotona park,empiric,av,X-03,-73.8948952325,40.8385853826
804,pool - faber,faber pool,pool,av,R-01,-74.1353,40.6412
805,pool - kosciusko,kosciuszko pool,pool,av,B-03,-73.9496,40.6912
806,haggerty park,haggerty park,park_direct,av,Q-12,-73.7576984698,40.7129651519
807,recreation center - owen dolen senior center,owen f. dolen park,other,v,X-10,-73.8428647008,40.8405491693
808,pratt playground,pratt playground,park_direct,av,B-02,-73.9625258367,40.6926365137
809,martin luther king jr playground,martin luther playground,pgs,av,B-07,-74.0198,40.6458
810,mckinley playground,mckinley playground,park_direct,av,M-03,-73.9857770705,40.7242549854
811,springfield park north,springfield park north,park_direct,av,Q-13,-73.7597550678,40.6641021741
812,arcilla playground,arcilla playground,park_direct,av,X-04,-73.9143100643,40.827102301
813,neptune playground,neptune playground,park_direct,av,B-13,-73.9806331186,40.5782495058
814,pelham bay park - aileen ryan recreation complex,pelham bay park,empiric,av,X-11,-73.8042018565,40.8681072084
815,merriam playground,merriam playground,park_direct,av,X-04,-73.9267592114,40.8396200865
816,ralph demarco park,ralph demarco park,park_direct,av,Q-01,-73.9173006514,40.7845964336
817,schmul park,schmul park,park_direct,av,R-02,-74.1863349275,40.5889456065
818,pool - van cortlandt,van cortlandt park,empiric,av,X-13,-73.8866670724,40.8971015129
819,waring playground,waring playground,pgs,av,X-14,-73.8714,40.8605
820,saw mill playground,saw mill playground,park_direct,av,X-01,-73.9193732945,40.8089131053
821,alley springfield,springfield park,other,v,Q-13,-73.761947887,40.6613137958
822,grant park,grant park,park_direct,av,X-04,-73.9129333403,40.8368435344
823,sunrise playground - ps 195,sunrise playground,pgs,v,Q-13,-73.7364,40.6527
824,fort washington park - lily brown playground,washington park,pgs,av,B-06,-73.9842,40.6728
825,fort washington park - lily brown playground,washington park,pgs,av,X-06,-73.8936,40.8557
826,bradhurst urban renewal park,bradhurst ave garden,other,v,M-10,-73.9393263082,40.8276657686
827,renaissance playground,renaissance playground,park_direct,av,M-10,-73.9415297586,40.8213362443
828,woodruff playground,woodruff playground,park_direct,av,B-05,-73.8660307066,40.6653919964
829,cooper park,cooper park,park_direct,av,B-01,-73.9372400011,40.7158525726
830,flynn playground,flynn playground,park_direct,av,X-01,-73.9119327889,40.8210446148
831,monsignor kett,monsignor kett playground,other,av,M-12,-73.9209132868,40.8625280094
832,pool - john jay,john jay pool,pool,av,M-08,-73.949,40.7696
833,rockaway beach and boardwalk - beach 59th st playground,beach 59th street playground,pgs,v,Q-14,-73.7889,40.5891
834,barrett park,barrett park,park_direct,av,R-01,-74.1155694943,40.6251349841
835,martin luther king playground,martin luther king playground,park_direct,av,M-10,-73.9503894964,40.8002082252
836,cooper park - carnegie playground,carnegie playground,pgs,av,B-01,-73.9375,40.7161
837,juniper north playground tennis,juniper north playground tennis,pgs,av,Q-05,-73.8769,40.7207
838,maclaughlin playground,maclaughlin playground,park_direct,av,X-08,-73.9053336508,40.8879626616
839,pool - thomas jefferson,thomas jefferson pool,pool,av,M-11,-73.9359,40.7933
840,marion hopkinson playground,marion hopkinson playground,park_direct,av,B-16,-73.9133197129,40.6817811542
841,aqueduct walk - parque de los ninos playground,parque de los ninos,pgs,v,X-09,-73.8734,40.8271
842,linden park,linden park,park_direct,av,B-05,-73.8869986176,40.6589523844
843,grand canal court,grand canal court,park_direct,av,M-02,-74.0050391304,40.7223038591
844,queensboro oval,queensboro oval,park_direct,av,M-08,-73.960075441,40.759224491
845,marx brothers playground,marx brothers playground,park_direct,av,M-11,-73.9461688523,40.7843336643
846,coney island beach and boardwalk,coney island and coney island boardwalk,beach,av,B-13,-73.9441,40.573
847,pool - red hook park,red hook recreation area,empiric,av,B-06,-74.0056997559,40.6718688587
848,pool - crotona,crotona pool,pool,av,X-03,-73.8981,40.8399
849,flushing meadows and corona park,flushing meadows corona park,empiric,av,Q-15,-73.8417856108,40.743279099
850,luther gulick playground,luther gulick playground,park_direct,av,M-03,-73.9818570725,40.7158842683
851,wingate park,wingate park,park_direct,av,B-09,-73.9441992634,40.6585695236
852,prescott playground,prescott playground,park_direct,av,R-03,-74.1860914699,40.5226037448
853,admiral farragut playground,admiral farragut playground,park_direct,av,X-06,-73.8917748338,40.8429523636
854,bayview terrace park,bayview terrace park,park_direct,av,R-03,-74.1636712009,40.5256974099
855,walker park,walker park,park_direct,av,R-01,-74.109460297,40.6433223255
856,detective keith l. williams park,detective keith l williams park,other,av,Q-12,-73.7844292049,40.7028838319
857,william mccray playground,william mccray playground,park_direct,av,M-10,-73.9377337893,40.8155511757
858,aqueduct walk - french charley playground,french charley playground,pgs,v,X-14,-73.8763,40.8699
859,ogden plimpton playground,ogden plimpton playground,park_direct,av,X-04,-73.9237405322,40.8419038916
860,alley park - wild flower meadow,alley park,other,v,Q-11,-73.744912742,40.7473905414
861,penn south playground,penn south playground,park_direct,av,M-04,-73.9986927967,40.747592311
862,ten eyck plaza,ten eyck plaza,park_direct,av,B-01,-73.9493384101,40.7092996324
863,douglaston park,douglaston park golf course,other,v,Q-11,-73.7326264491,40.7523287435
864,allison park,allison pond park,other,av,R-01,-74.1013029645,40.6370977909
865,south pacific playground,south pacific playground,park_direct,av,B-16,-73.9202967394,40.6756527938
866,courtney callender playground,courtney callender playground,park_direct,av,M-10,-73.9401142078,40.810044105
867,pool - claremont,claremont pool,pool,av,X-04,-73.9073,40.839
868,pool - claremont,claremont pool,pool,av,X-04,-73.9076,40.839
869,recreation center - st. james,st. james park,other,v,X-07,-73.89779073,40.8651601179
870,pool - commodore barry,commodore barry pool,pool,av,B-02,-73.9782,40.6976
871,loreto playground,loreto playground,park_direct,av,X-11,-73.8521192961,40.8490580199
872,brooklyn bridge park,brooklyn bridge park,park_direct,av,B-02,-73.9979857471,40.6977176363
873,schenck playground,schenck playground,park_direct,av,B-05,-73.8861701524,40.6655775715
874,spuyten duyvil shorefront park and half moon overlook,spuyten duyvil shorefront park,other,av,X-08,-73.9207990649,40.8784752108
875,pool - fisher,fisher pool,pool,av,Q-03,-73.8696,40.7589
876,prospect park - main entrance,prospect park,empiric,av,B-19,-73.9696822786,40.6613534409
877,south shore golf course,south shore golf course,golf,av,R-03,-74.206118,40.55072
878,playground seventy five - ps 154,playground seventy-five,pgs,av,Q-08,-73.8082,40.7264
879,central park - spector playground,central park,empiric,av,M-13,-73.9655584012,40.7824838384
880,leif ericson drive shore parkway - six diamonds,leif ericson park,other,v,B-10,-74.0159586404,40.6333396441
881,abigail playground,abigail playground,park_direct,av,X-01,-73.9046419444,40.8173138694
882,pool - douglas and degraw,douglas and degraw pool,pool,av,B-06,-73.9857,40.6802
883,abc playground,abc playground,park_direct,av,M-03,-73.9860276514,40.7217927398
884,patterson playground,patterson playground,park_direct,av,X-01,-73.9223436309,40.8158183428
885,barrier playground,barrier playground,park_direct,av,Q-06,-73.8549336154,40.7362699204
886,anibal aviles playground,anibal aviles playground,park_direct,av,M-07,-73.9628469299,40.8011855565
887,pulaski playground,pulaski playground,park_direct,av,B-03,-73.9417021289,40.6936047753
888,gen douglas macarthur park,gen. douglas macarthur park,other,av,R-02,-74.1002275189,40.5865804612
889,aqueduct walk - brady playground,brady playground,pgs,v,X-11,-73.8688,40.8514
890,pool - tompkins square,tompkins square pool,pool,av,M-03,-73.981,40.7269
891,golf course - van cortlandt,van cortlandt park,empiric,av,X-13,-73.8866670724,40.8971015129
892,pelham bay park - pelham south park headquarters,pelham bay park,empiric,av,X-11,-73.8042018565,40.8681072084
893,elton playground,elton playground,park_direct,av,B-05,-73.8807388841,40.6659325561
894,capt tilly park,captain tilly park,other,av,Q-08,-73.7988185529,40.7121619023
895,augustus saint gaudens,augustus st. gaudens playground,other,av,M-06,-73.9821531026,40.7355500263
896,saratoga square park,"saratoga square urban renewal area, site 164",other,v,B-16,-73.9116793917,40.6785147665
897,dr ronald e mcnair playground,dr. ronald e. mcnair playground,pgs,av,M-11,-73.9381,40.8026
898,mott playground,mott playground,park_direct,av,X-04,-73.9147331437,40.8312798949
899,terrace playground,terrace playground,park_direct,av,R-01,-74.0985928466,40.6136716886
900,pool - ps 14 playground,ps 14 playground pool,pool,v,R-01,-74.0793,40.6228
901,central park - safari playground,central park,empiric,av,M-13,-73.9655584012,40.7824838384
902,aqueduct walk - aqueduct lands playground,aqueduct lands playground,pgs,v,X-05,-73.9088,40.8574
903,van cortlandt park - mosholu golf course,van cortlandt park,empiric,av,X-13,-73.8866670724,40.8971015129
904,city line park,city line park,park_direct,av,B-05,-73.8749227439,40.6794818002
905,sean's place,sean's place,park_direct,av,Q-01,-73.9183274637,40.7607719624
906,playground one forty,playground one forty,park_direct,av,Q-12,-73.8012540892,40.6751418891
907,mount hope playground,mount hope playground,park_direct,av,X-05,-73.9094394373,40.8502983336
908,garibaldi playground,garibaldi playground,park_direct,av,B-11,-74.0000956504,40.6089625906
909,prospect park - third street playground,prospect park,empiric,av,B-19,-73.9696822786,40.6613534409
910,loring field,vito locascio field,other,v,Q-10,-73.8437198198,40.6699584097
911,dodger playground,dodger playground,park_direct,av,B-09,-73.9523603712,40.664873688
912,fort totten park,fort totten park,park_direct,av,Q-07,-73.777846489,40.7932013637
913,howard von dohlen playground,howard von dohlen playground,park_direct,av,Q-12,-73.8129783435,40.699440185
914,andrews playground,andrews playground,pgs,av,Q-02,-73.9548,40.7434
915,van nest park,van nest park,park_direct,av,X-11,-73.8657788656,40.8433452537
916,pool - jackie robinson park,jackie robinson pool,pool,av,M-10,-73.9428,40.8242
917,tremont park,tremont park,park_direct,av,X-06,-73.8952447238,40.845271626
918,francis lewis playground - ps 130,francis lewis playground,pgs,av,Q-07,-73.8257,40.7962
919,francis lewis playground - ps 130,francis lewis playground,pgs,av,Q-11,-73.7841,40.7605
920,sachkerah woods playground,sachkerah woods playground,pgs,av,X-13,-73.8815,40.8837
921,pool - recreation center 54,recreation center 54 pool,pool,av,M-06,-73.9651,40.7565
922,asser levy - asser levy playground,asser levy park,empiric,av,B-13,-73.9735309949,40.5747313656
923,recreation center - detective keith williams (liberty park),detective keith l williams park,other,v,Q-12,-73.7844292049,40.7028838319
924,pierrepont playground,pierrepont playground,park_direct,av,B-02,-73.9975650439,40.6962638027
925,van alst playground - ps 171,ps 171 - van alst playground,pgs,av,Q-01,-73.9282,40.7706
926,baisley pond park - sutphin playground,sutphin playground,pgs,av,Q-12,-73.7892,40.6748
927,epiphany playground,epiphany playground,park_direct,av,B-01,-73.9655423068,40.7085593249
928,dutch kills playground - ps 112,dutch kills playground (ps 112),pgs,av,Q-01,-73.9332,40.7573
929,bayside playground - jhs 180,bayside playground/jhs 180 playground,pgs,av,Q-14,-73.8252,40.5848
930,turtle playground,turtle playground,park_direct,av,Q-07,-73.8274322389,40.7421389474
931,aqueduct walk - river park,aqueduct walk,other,v,X-07,-73.9021617732,40.8651270507
932,aqueduct walk - river park,aqueduct walk,other,v,X-05,-73.9092042331,40.856691868
933,midland playground,midland playground,park_direct,av,R-02,-74.0988086674,40.5749002486
934,alley pond park - horatio playground,horatio playground,pgs,av,Q-11,-73.7535,40.7587
935,playground 70,playground 70,pgs,av,M-07,-73.9839,40.7774
936,lafayette playground,lafayette playground,park_direct,av,B-03,-73.9300661493,40.6925563283
937,lafayette playground,lafayette playground,park_direct,av,B-13,-73.9852898453,40.5945088291
938,chester playground,chester playground,park_direct,av,B-16,-73.9118484843,40.6686940027
939,laurelton playground,laurelton playground,park_direct,av,Q-13,-73.7365322013,40.6700005484
940,greenwood playground,greenwood playground,park_direct,av,B-07,-73.9763960282,40.6503792488
941,auburndale playground - ps 32,auburndale playground,pgs,av,Q-07,-73.7943,40.7658
942,abe lincoln,lincoln center plaza,other,v,M-07,-73.9835919181,40.7726071215
943,paerdegat park,paerdegat park,park_direct,av,B-17,-73.9381338169,40.6380614253
944,grace playground,grace playground,park_direct,av,B-05,-73.8944393076,40.6713747402
945,woodtree playground,woodtree playground,park_direct,av,Q-01,-73.902369529,40.7775254095
946,pool - marcus garvey park,marcus garvey pool,pool,av,M-11,-73.9434,40.8052
947,sperandeo brothers playground,sperandeo brothers playground,park_direct,av,B-05,-73.8844564927,40.6770987535
948,pool - ps 46 playground,ps 46 playground pool,pool,v,R-02,-74.0816,40.5952
949,playground ninety ps 148,playground ninety xc,pgs,v,Q-03,-73.8786,40.7573
950,nehemiah park,nehemiah park,park_direct,av,B-16,-73.9055220602,40.6622464524
951,american playground,american playground,park_direct,av,B-01,-73.9578893296,40.7287698967
952,nautilus playground - brooklyn,nautilus playground,pgs,av,B-13,-73.9963,40.5717
953,nautilus playground - brooklyn,nautilus playground,pgs,av,Q-12,-73.7708,40.685
954,mathew  muliner playground,matthews muliner playground,pgs,av,X-11,-73.8615,40.847
955,flushing meadows and corona park - triassic playground,flushing meadows corona park,empiric,av,Q-15,-73.8417856108,40.743279099
956,telephone playground - ps 205,telephone playground,pgs,av,Q-11,-73.7566,40.7385
957,oracle playground,oracle playground,park_direct,av,B-02,-73.9715184498,40.6939312947
958,ehrenreich austin playground,ehrenreich-austin playground,pgs,av,Q-06,-73.8368,40.7155
959,central park - dana discovery nature center,central park,empiric,av,M-13,-73.9655584012,40.7824838384
960,vleigh playground - ps 165,vleigh playground,pgs,v,Q-08,-73.8165,40.7298
961,charles w cooke farm park,charles w cooke farm garden,other,v,X-06,-73.8939809162,40.8526171215
962,jerome playground,jerome playground,park_direct,av,B-05,-73.879502644,40.6588317441
963,pol. officer edward byrne park,police officer edward byrne park,other,av,Q-10,-73.8074420132,40.6673391911
964,eugenio maria de hostos playground,eugenio maria de hostos playground,pgs,av,B-01,-73.9493,40.7027
965,luna park playground,luna park playground,pgs,av,B-13,-73.9785,40.576
966,pool - bushwick,bushwick pool,pool,av,B-01,-73.9398,40.7019
967,behagen playground,behagen playground,park_direct,av,X-03,-73.9014080178,40.8253024664
968,steinway playground and jhs 141,steinway playground (jhs 141),pgs,av,Q-01,-73.9035,40.7764
969,freedom square,freedom square playground,other,av,Q-08,-73.8202824912,40.7232294697
970,ericsson playground,ericsson playground,park_direct,av,B-01,-73.9482388958,40.7203657326
971,challenge playground - ps 187,challenge playground,pgs,av,Q-11,-73.728,40.7566
972,pool - tony dapolito,tony dapolito pool,pool,av,M-02,-74.0054,40.7296
973,pool - tony dapolito,tony dapolito pool,pool,av,M-02,-74.0055,40.7297
974,tiffany playground,tiffany playground,park_direct,av,X-02,-73.8943749115,40.8248400008
975,robert venable park,robert e. venable park,other,av,B-05,-73.8652289888,40.6744223658
976,pool - west brighton,west brighton pool,pool,av,R-01,-74.1193,40.6371
977,green central knoll,green central knoll,park_direct,av,B-04,-73.9330345603,40.7019334621
978,prospect park - the bandshell a,prospect park,empiric,av,B-19,-73.9696822786,40.6613534409
979,pool - fort totten,fort totten pool,pool,av,Q-07,-73.7747,40.7922
980,joseph c sauer playground,joseph c. sauer park,other,v,M-03,-73.979734503,40.7281725765
981,van cortlandt park - old croton aqueduct trail middle,van cortlandt park,empiric,av,X-13,-73.8866670724,40.8971015129
982,cedar grove,cedar grove playground,other,av,Q-08,-73.8244701441,40.7361611782
983,kaltenmeier playground,kaltenmeier playground,park_direct,av,R-01,-74.0687998715,40.6148292318
984,bergen beach playground,bergen beach playground,park_direct,av,B-18,-73.9095345986,40.6224274815
985,babi yar triangle,triangle,other,av,X-03,-73.9108556559,40.8245641614
986,babi yar triangle,triangle,other,av,B-05,-73.8774271735,40.6687302277
987,babi yar triangle,triangle,other,av,B-18,-73.9167288982,40.6166022214
988,westbourne playground,westbourne playground,park_direct,av,Q-14,-73.7644093519,40.6079973045
989,washington park,washington park,park_direct,av,X-06,-73.8936132881,40.8557591851
990,washington park,washington park,park_direct,av,B-06,-73.9855681527,40.6727197479
991,washington park,washington park,park_direct,av,X-06,-73.8936132881,40.8557591851
992,washington park,washington park,park_direct,av,B-06,-73.9855681527,40.6727197479
993,jennifer's playground,jennifer's playground,park_direct,av,R-01,-74.1631296787,40.6200533757
994,paul raimonda playground,paul raimonda playground,park_direct,av,Q-01,-73.8974460799,40.7728024939
995,edmonds playground,edmonds playground,park_direct,av,B-02,-73.9715348681,40.6891881524
996,st mary's playground south,st mary's playground south,pgs,av,X-01,-73.9139,40.8104
997,thorpe family playground,thorpe family playground,park_direct,av,X-06,-73.8948768142,40.8562232052
998,recreation center - bowne park,bowne park,other,v,Q-07,-73.8073631011,40.77052045
999,willets point playground - ps 209,willets point playground,pgs,av,Q-07,-73.7963,40.7838
1000,lions' pride playground,lions' pride playground,pgs,av,B-05,-73.8997,40.6626
1001,mae grant playground,mae grant playground,park_direct,av,M-11,-73.949440034,40.792439563
1002,peter minuit park,peter minuit playground,other,v,M-11,-73.9472314724,40.7947707459
1003,magenta playground,magenta playground,park_direct,av,X-12,-73.8678666042,40.8737461446
1004,pool - lyons,lyons pool,pool,av,R-01,-74.0743,40.6369
1005,capt jacob joseph playground,capt jacob joseph playground,pgs,av,M-03,-73.9899,40.7136
1006,pool - ps 20 playground (adelphi),parham playground,pgs,v,B-02,-73.9708,40.6903
1007,scarangella park,scarangella park,park_direct,av,B-13,-73.9843388587,40.5946659441
1008,flushing meadows and corona park - jurassic playground,flushing meadows corona park,empiric,av,Q-15,-73.8417856108,40.743279099
1009,mazzei playground,mazzei playground,park_direct,av,X-11,-73.8584684796,40.8625412562
1010,pool - sunset park,sunset park pool,pool,av,B-07,-74.0026,40.6472
1011,pool - howard,howard pool,pool,av,B-16,-73.9089,40.6727
1012,little claremont park,little claremont park,park_direct,av,X-03,-73.9037546706,40.8387762483
1013,mellett playground,mellett playground,park_direct,av,B-15,-73.9574472194,40.596986607
1014,howard playground,howard playground,park_direct,av,B-16,-73.9080880299,40.6717256361
1015,pool - haffen,haffen pool,pool,av,X-12,-73.8392,40.8743
1016,pool - haffen,haffen pool,pool,av,X-12,-73.8394,40.8744
1017,vidalia park,vidalia park,park_direct,av,X-06,-73.8814306109,40.8438649437
1018,power playground,power playground,park_direct,av,B-18,-73.9273220141,40.6181299505
1019,col charles young playground,col charles young playground,pgs,av,M-10,-73.9357,40.8193
1020,baisley pond park - lakeview lane playground,lakeview lane playground,pgs,av,Q-12,-73.7824,40.6777
1021,white playground,white playground,park_direct,av,M-11,-73.9459060421,40.7916415685
1022,white playground,white playground,park_direct,av,R-01,-74.0631363222,40.6075798223
1023,white playground,white playground,park_direct,av,M-11,-73.9459060421,40.7916415685
1024,white playground,white playground,park_direct,av,R-01,-74.0631363222,40.6075798223
1025,rochdale park playground  at jhs 72,rochdale park (jhs 72),pgs,v,Q-12,-73.775,40.6742
1026,harvey playground,harvey playground,pgs,av,Q-07,-73.8237,40.7826
1027,watson gleason playground,watson gleason playground,park_direct,av,X-09,-73.8689639814,40.828441781
1028,starlight park - daniel boone playground,daniel boone playground,pgs,v,X-03,-73.8859,40.8296
