Complaint Type,Descriptor,calls
Violation of Park Rules,Smoking,41
Violation of Park Rules,Obstructing Public Use,28
Violation of Park Rules,BBQ Outside Authorized Area,9
Violation of Park Rules,Unlicensed Vendors,9
Violation of Park Rules,Unsafe Use of Playground,5
Violation of Park Rules,Biking/Rollerblading off Path,1
Violation of Park Rules,Unauthorized Posting of Signs,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Hitting Building,3
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Hitting Power/Phone Lines,1
Maintenance or Facility,Structure - Outdoors,706
Maintenance or Facility,Garbage or Litter,273
Maintenance or Facility,Structure - Indoors,167
Maintenance or Facility,Unsecured Facility,76
Maintenance or Facility,Grass/Weeds,57
Maintenance or Facility,Broken Glass,44
Maintenance or Facility,Rodent Sighting,44
Maintenance or Facility,Hours of Operation,43
Maintenance or Facility,Graffiti or Vandalism,38
Maintenance or Facility,Snow or Ice,13
Illegal Tree Damage,Unauthorized Tree Removal,3
Illegal Tree Damage,Branches Damaged,2
Illegal Tree Damage,Roots Damaged,2
Illegal Tree Damage,Bicycle Chained to Tree,1
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,4
Damaged Tree,Tree Alive - in Poor Condition,10
Damaged Tree,Branch or Limb Has Fallen Down,6
Damaged Tree,Branch Cracked and Will Fall,5
Damaged Tree,Tree Leaning/Uprooted,4
Damaged Tree,Tree Trunk Split,2
Damaged Tree,Entire Tree Has Fallen Down,1
DPR Internal,Aided/Injury,50
DPR Internal,Property,7
DPR Internal,Lost/Missing Person,1
Animal in a Park,Dog Off Leash,37
Animal in a Park,Dead Animal,21
Animal in a Park,Animal Waste,19
Animal in a Park,Domestic Strays,12
Animal in a Park,Injured Wildlife,11
Animal in a Park,Wildlife Sighting,7
Animal in a Park,Removing Wildlife,6
