Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,86
Violation of Park Rules,Unlicensed Vendors,54
Violation of Park Rules,BBQ Outside Authorized Area,48
Violation of Park Rules,Smoking,8
Violation of Park Rules,Unsafe Use of Playground,7
Violation of Park Rules,Unauthorized Film Shoot,3
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,4
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Hitting Building,6
Overgrown Tree/Branches,Hitting Power/Phone Lines,5
Overgrown Tree/Branches,Blocking Street,3
Maintenance or Facility,Structure - Outdoors,394
Maintenance or Facility,Garbage or Litter,127
Maintenance or Facility,Structure - Indoors,71
Maintenance or Facility,Grass/Weeds,47
Maintenance or Facility,Hours of Operation,40
Maintenance or Facility,Snow or Ice,36
Maintenance or Facility,Unsecured Facility,29
Maintenance or Facility,Graffiti or Vandalism,26
Maintenance or Facility,Rodent Sighting,15
Maintenance or Facility,Broken Glass,8
Illegal Tree Damage,Branches Damaged,9
Illegal Tree Damage,Roots Damaged,5
Illegal Tree Damage,Trunk Damaged,4
Illegal Tree Damage,Unauthorized Tree Removal,4
Dead Tree,Dead/Dying Tree,13
Damaged Tree,Entire Tree Has Fallen Down,17
Damaged Tree,Branch or Limb Has Fallen Down,8
Damaged Tree,Branch Cracked and Will Fall,7
Damaged Tree,Tree Alive - in Poor Condition,6
Damaged Tree,Tree Leaning/Uprooted,3
Damaged Tree,Tree Trunk Split,2
DPR Internal,Aided/Injury,27
DPR Internal,Lost/Missing Person,4
Animal in a Park,Dog Off Leash,40
Animal in a Park,Domestic Strays,28
Animal in a Park,Dead Animal,14
Animal in a Park,Wildlife Sighting,12
Animal in a Park,Injured Wildlife,10
Animal in a Park,Animal Waste,9
Animal in a Park,Removing Wildlife,8
