Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,67
Violation of Park Rules,Obstructing Public Use,60
Violation of Park Rules,Unlicensed Vendors,27
Violation of Park Rules,Unsafe Use of Playground,10
Violation of Park Rules,Biking/Rollerblading off Path,8
Violation of Park Rules,Removing Flowers/Plants,8
Violation of Park Rules,Unauthorized Climbing,8
Violation of Park Rules,Smoking,5
Violation of Park Rules,Unauthorized Posting of Signs,3
Violation of Park Rules,Use of Newly Seeded Lawn,2
Violation of Park Rules,Unauthorized Film Shoot,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,1
Overgrown Tree/Branches,Blocking Street,3
Overgrown Tree/Branches,Dead Branches in Tree,3
Overgrown Tree/Branches,Hitting Building,2
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,540
Maintenance or Facility,Garbage or Litter,158
Maintenance or Facility,Structure - Indoors,83
Maintenance or Facility,Rodent Sighting,58
Maintenance or Facility,Unsecured Facility,50
Maintenance or Facility,Snow or Ice,44
Maintenance or Facility,Graffiti or Vandalism,43
Maintenance or Facility,Hours of Operation,39
Maintenance or Facility,Grass/Weeds,36
Maintenance or Facility,Broken Glass,17
Illegal Tree Damage,Branches Damaged,3
Illegal Tree Damage,Trunk Damaged,3
Illegal Tree Damage,Unauthorized Tree Removal,3
Dead Tree,Dead/Dying Tree,9
Damaged Tree,Entire Tree Has Fallen Down,20
Damaged Tree,Branch or Limb Has Fallen Down,14
Damaged Tree,Branch Cracked and Will Fall,11
Damaged Tree,Tree Alive - in Poor Condition,4
Damaged Tree,Tree Leaning/Uprooted,2
DPR Internal,Aided/Injury,48
DPR Internal,Property,16
DPR Internal,Lost/Missing Person,3
Animal in a Park,Dog Off Leash,208
Animal in a Park,Injured Wildlife,116
Animal in a Park,Dead Animal,94
Animal in a Park,Domestic Strays,52
Animal in a Park,Removing Wildlife,50
Animal in a Park,Wildlife Sighting,46
Animal in a Park,Animal Waste,12
