Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,11
Violation of Park Rules,Unsafe Use of Playground,10
Violation of Park Rules,BBQ Outside Authorized Area,6
Violation of Park Rules,Unlicensed Vendors,5
Violation of Park Rules,Unauthorized Posting of Signs,2
Violation of Park Rules,Biking/Rollerblading off Path,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,3
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,1
Overgrown Tree/Branches,Dead Branches in Tree,5
Overgrown Tree/Branches,Hitting Building,5
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,359
Maintenance or Facility,Structure - Indoors,153
Maintenance or Facility,Garbage or Litter,107
Maintenance or Facility,Hours of Operation,52
Maintenance or Facility,Unsecured Facility,45
Maintenance or Facility,Grass/Weeds,22
Maintenance or Facility,Snow or Ice,18
Maintenance or Facility,Graffiti or Vandalism,15
Maintenance or Facility,Rodent Sighting,6
Maintenance or Facility,Broken Glass,5
Illegal Tree Damage,Branches Damaged,10
Illegal Tree Damage,Trunk Damaged,3
Illegal Tree Damage,Roots Damaged,2
Illegal Tree Damage,Unauthorized Tree Pruning,2
Illegal Tree Damage,Unauthorized Tree Removal,1
Dead Tree,Dead/Dying Tree,2
Damaged Tree,Branch or Limb Has Fallen Down,17
Damaged Tree,Entire Tree Has Fallen Down,8
Damaged Tree,Tree Alive - in Poor Condition,7
Damaged Tree,Tree Leaning/Uprooted,4
Damaged Tree,Tree Trunk Split,2
Damaged Tree,Branch Cracked and Will Fall,1
DPR Internal,Aided/Injury,17
DPR Internal,Locker Break-in/Incident,2
Animal in a Park,Dog Off Leash,29
Animal in a Park,Domestic Strays,13
Animal in a Park,Animal Waste,7
Animal in a Park,Dead Animal,7
Animal in a Park,Removing Wildlife,3
Animal in a Park,Wildlife Sighting,3
Animal in a Park,Injured Wildlife,2
