Complaint Type,Descriptor,calls
Violation of Park Rules,Unlicensed Vendors,57
Violation of Park Rules,BBQ Outside Authorized Area,47
Violation of Park Rules,Obstructing Public Use,31
Violation of Park Rules,Unsafe Use of Playground,21
Violation of Park Rules,Smoking,15
Violation of Park Rules,Unauthorized Posting of Signs,3
Violation of Park Rules,Biking/Rollerblading off Path,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,9
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Hitting Building,5
Overgrown Tree/Branches,Dead Branches in Tree,4
Overgrown Tree/Branches,Hitting Power/Phone Lines,4
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Clear Street Light,2
Maintenance or Facility,Structure - Outdoors,637
Maintenance or Facility,Garbage or Litter,404
Maintenance or Facility,Grass/Weeds,192
Maintenance or Facility,Structure - Indoors,109
Maintenance or Facility,Snow or Ice,58
Maintenance or Facility,Unsecured Facility,55
Maintenance or Facility,Graffiti or Vandalism,51
Maintenance or Facility,Hours of Operation,51
Maintenance or Facility,Broken Glass,49
Maintenance or Facility,Rodent Sighting,31
Illegal Tree Damage,Branches Damaged,10
Illegal Tree Damage,Trunk Damaged,7
Illegal Tree Damage,Unauthorized Tree Removal,4
Illegal Tree Damage,Roots Damaged,2
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,14
Damaged Tree,Branch or Limb Has Fallen Down,26
Damaged Tree,Tree Alive - in Poor Condition,26
Damaged Tree,Tree Leaning/Uprooted,14
Damaged Tree,Branch Cracked and Will Fall,13
Damaged Tree,Entire Tree Has Fallen Down,12
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,21
DPR Internal,Illegal Dumping,2
DPR Internal,Lost/Missing Person,2
DPR Internal,Property,2
Animal in a Park,Dog Off Leash,102
Animal in a Park,Dead Animal,50
Animal in a Park,Injured Wildlife,42
Animal in a Park,Domestic Strays,26
Animal in a Park,Removing Wildlife,15
Animal in a Park,Animal Waste,14
Animal in a Park,Wildlife Sighting,13
