Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,11
Violation of Park Rules,Smoking,9
Violation of Park Rules,Unlicensed Vendors,5
Violation of Park Rules,Unsafe Use of Playground,5
Violation of Park Rules,BBQ Outside Authorized Area,2
Violation of Park Rules,Biking/Rollerblading off Path,1
Violation of Park Rules,Unauthorized Posting of Signs,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,1
Overgrown Tree/Branches,Hitting Building,2
Overgrown Tree/Branches,Clear Street Light,1
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,153
Maintenance or Facility,Hours of Operation,60
Maintenance or Facility,Garbage or Litter,47
Maintenance or Facility,Snow or Ice,31
Maintenance or Facility,Structure - Indoors,30
Maintenance or Facility,Unsecured Facility,28
Maintenance or Facility,Rodent Sighting,11
Maintenance or Facility,Grass/Weeds,9
Maintenance or Facility,Broken Glass,5
Maintenance or Facility,Graffiti or Vandalism,5
Illegal Tree Damage,Branches Damaged,13
Illegal Tree Damage,Trunk Damaged,8
Illegal Tree Damage,Unauthorized Tree Removal,7
Illegal Tree Damage,Roots Damaged,6
Damaged Tree,Branch or Limb Has Fallen Down,18
Damaged Tree,Tree Alive - in Poor Condition,11
Damaged Tree,Entire Tree Has Fallen Down,9
Damaged Tree,Tree Leaning/Uprooted,9
Damaged Tree,Branch Cracked and Will Fall,4
Damaged Tree,Tree Trunk Split,3
DPR Internal,Aided/Injury,4
DPR Internal,Lost/Missing Person,1
Animal in a Park,Dog Off Leash,5
Animal in a Park,Domestic Strays,4
Animal in a Park,Animal Waste,1
Animal in a Park,Dead Animal,1
Animal in a Park,Injured Wildlife,1
