Complaint Type,Descriptor,calls
Violation of Park Rules,Smoking,8
Violation of Park Rules,Obstructing Public Use,4
Violation of Park Rules,Unsafe Use of Playground,3
Violation of Park Rules,BBQ Outside Authorized Area,1
Violation of Park Rules,Unlicensed Vendors,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,2
Overgrown Tree/Branches,Hitting Building,2
Overgrown Tree/Branches,Hitting Power/Phone Lines,1
Maintenance or Facility,Structure - Outdoors,137
Maintenance or Facility,Structure - Indoors,33
Maintenance or Facility,Garbage or Litter,32
Maintenance or Facility,Hours of Operation,17
Maintenance or Facility,Grass/Weeds,13
Maintenance or Facility,Unsecured Facility,11
Maintenance or Facility,Graffiti or Vandalism,8
Maintenance or Facility,Rodent Sighting,4
Maintenance or Facility,Snow or Ice,4
Maintenance or Facility,Broken Glass,2
Illegal Tree Damage,Branches Damaged,8
Illegal Tree Damage,Roots Damaged,5
Illegal Tree Damage,Trunk Damaged,3
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,1
Damaged Tree,Tree Alive - in Poor Condition,11
Damaged Tree,Branch or Limb Has Fallen Down,10
Damaged Tree,Tree Trunk Split,7
Damaged Tree,Entire Tree Has Fallen Down,3
Damaged Tree,Tree Leaning/Uprooted,3
Damaged Tree,Branch Cracked and Will Fall,1
Animal in a Park,Dead Animal,5
Animal in a Park,Dog Off Leash,5
Animal in a Park,Injured Wildlife,3
Animal in a Park,Animal Waste,1
Animal in a Park,Domestic Strays,1
Animal in a Park,Removing Wildlife,1
Animal in a Park,Wildlife Sighting,1
