Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,14
Violation of Park Rules,Smoking,13
Violation of Park Rules,Unlicensed Vendors,10
Violation of Park Rules,BBQ Outside Authorized Area,8
Violation of Park Rules,Unsafe Use of Playground,3
Violation of Park Rules,Biking/Rollerblading off Path,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,2
Overgrown Tree/Branches,Hitting Building,4
Overgrown Tree/Branches,Blocking Street,1
Overgrown Tree/Branches,Clear Street Light,1
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Structure - Outdoors,310
Maintenance or Facility,Garbage or Litter,257
Maintenance or Facility,Structure - Indoors,69
Maintenance or Facility,Grass/Weeds,33
Maintenance or Facility,Hours of Operation,23
Maintenance or Facility,Unsecured Facility,23
Maintenance or Facility,Rodent Sighting,21
Maintenance or Facility,Snow or Ice,19
Maintenance or Facility,Graffiti or Vandalism,14
Maintenance or Facility,Broken Glass,11
Illegal Tree Damage,Branches Damaged,17
Illegal Tree Damage,Unauthorized Tree Removal,8
Illegal Tree Damage,Roots Damaged,6
Illegal Tree Damage,Trunk Damaged,5
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,3
Damaged Tree,Branch or Limb Has Fallen Down,22
Damaged Tree,Entire Tree Has Fallen Down,15
Damaged Tree,Tree Alive - in Poor Condition,11
Damaged Tree,Tree Leaning/Uprooted,7
Damaged Tree,Branch Cracked and Will Fall,5
Damaged Tree,Tree Trunk Split,3
DPR Internal,Aided/Injury,10
Animal in a Park,Dog Off Leash,21
Animal in a Park,Dead Animal,10
Animal in a Park,Animal Waste,9
Animal in a Park,Injured Wildlife,6
Animal in a Park,Removing Wildlife,2
Animal in a Park,Wildlife Sighting,2
Animal in a Park,Domestic Strays,1
