Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,60
Violation of Park Rules,Unlicensed Vendors,27
Violation of Park Rules,Unsafe Use of Playground,16
Violation of Park Rules,Smoking,15
Violation of Park Rules,BBQ Outside Authorized Area,10
Violation of Park Rules,Unauthorized Posting of Signs,7
Violation of Park Rules,Biking/Rollerblading off Path,2
Violation of Park Rules,Unauthorized Climbing,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,4
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Dead Branches in Tree,6
Overgrown Tree/Branches,Hitting Building,4
Overgrown Tree/Branches,Hitting Power/Phone Lines,1
Maintenance or Facility,Structure - Outdoors,493
Maintenance or Facility,Garbage or Litter,110
Maintenance or Facility,Grass/Weeds,47
Maintenance or Facility,Structure - Indoors,44
Maintenance or Facility,Unsecured Facility,39
Maintenance or Facility,Hours of Operation,36
Maintenance or Facility,Graffiti or Vandalism,35
Maintenance or Facility,Broken Glass,7
Maintenance or Facility,Rodent Sighting,5
Maintenance or Facility,Snow or Ice,5
Illegal Tree Damage,Branches Damaged,17
Illegal Tree Damage,Trunk Damaged,8
Illegal Tree Damage,Roots Damaged,6
Illegal Tree Damage,Unauthorized Tree Removal,6
Illegal Tree Damage,Unauthorized Tree Pruning,4
Illegal Tree Damage,Bicycle Chained to Tree,1
Dead Tree,Dead/Dying Tree,5
Damaged Tree,Tree Alive - in Poor Condition,43
Damaged Tree,Branch or Limb Has Fallen Down,21
Damaged Tree,Tree Leaning/Uprooted,17
Damaged Tree,Branch Cracked and Will Fall,16
Damaged Tree,Entire Tree Has Fallen Down,9
Damaged Tree,Tree Trunk Split,3
DPR Internal,Aided/Injury,18
DPR Internal,Lost/Missing Person,1
Animal in a Park,Dog Off Leash,24
Animal in a Park,Dead Animal,11
Animal in a Park,Animal Waste,8
Animal in a Park,Injured Wildlife,8
Animal in a Park,Domestic Strays,4
Animal in a Park,Removing Wildlife,4
Animal in a Park,Wildlife Sighting,4
