Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,18
Violation of Park Rules,Unlicensed Vendors,17
Violation of Park Rules,Obstructing Public Use,10
Violation of Park Rules,Unsafe Use of Playground,1
Overgrown Tree/Branches,Dead Branches in Tree,2
Overgrown Tree/Branches,Hitting Building,1
Maintenance or Facility,Structure - Outdoors,185
Maintenance or Facility,Garbage or Litter,126
Maintenance or Facility,Structure - Indoors,70
Maintenance or Facility,Hours of Operation,24
Maintenance or Facility,Grass/Weeds,23
Maintenance or Facility,Unsecured Facility,14
Maintenance or Facility,Graffiti or Vandalism,13
Maintenance or Facility,Snow or Ice,13
Maintenance or Facility,Rodent Sighting,12
Maintenance or Facility,Broken Glass,3
Illegal Tree Damage,Unauthorized Tree Removal,3
Illegal Tree Damage,Branches Damaged,1
Illegal Tree Damage,Roots Damaged,1
Illegal Tree Damage,Trunk Damaged,1
Dead Tree,Dead/Dying Tree,1
Damaged Tree,Entire Tree Has Fallen Down,4
Damaged Tree,Branch or Limb Has Fallen Down,3
Damaged Tree,Branch Cracked and Will Fall,1
Damaged Tree,Tree Alive - in Poor Condition,1
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,32
DPR Internal,Locker Break-in/Incident,5
DPR Internal,Property,4
DPR Internal,Beach/Pool Closure,2
DPR Internal,Illegal Dumping,1
Animal in a Park,Domestic Strays,18
Animal in a Park,Dog Off Leash,10
Animal in a Park,Dead Animal,8
Animal in a Park,Animal Waste,6
Animal in a Park,Injured Wildlife,6
Animal in a Park,Removing Wildlife,5
Animal in a Park,Wildlife Sighting,3
