Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,146
Violation of Park Rules,Obstructing Public Use,28
Violation of Park Rules,Unsafe Use of Playground,26
Violation of Park Rules,Unlicensed Vendors,14
Violation of Park Rules,Smoking,8
Violation of Park Rules,Biking/Rollerblading off Path,6
Violation of Park Rules,Unauthorized Posting of Signs,3
Violation of Park Rules,Unauthorized Climbing,1
Violation of Park Rules,Use of Newly Seeded Lawn,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,3
Overgrown Tree/Branches,Hitting Building,9
Overgrown Tree/Branches,Dead Branches in Tree,8
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Clear Street Light,1
Maintenance or Facility,Structure - Outdoors,809
Maintenance or Facility,Garbage or Litter,431
Maintenance or Facility,Structure - Indoors,180
Maintenance or Facility,Snow or Ice,149
Maintenance or Facility,Unsecured Facility,116
Maintenance or Facility,Hours of Operation,90
Maintenance or Facility,Grass/Weeds,85
Maintenance or Facility,Rodent Sighting,85
Maintenance or Facility,Graffiti or Vandalism,61
Maintenance or Facility,Broken Glass,28
Illegal Tree Damage,Unauthorized Tree Removal,14
Illegal Tree Damage,Branches Damaged,9
Illegal Tree Damage,Bicycle Chained to Tree,5
Illegal Tree Damage,Roots Damaged,5
Illegal Tree Damage,Trunk Damaged,5
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,6
Damaged Tree,Tree Alive - in Poor Condition,23
Damaged Tree,Entire Tree Has Fallen Down,16
Damaged Tree,Branch or Limb Has Fallen Down,13
Damaged Tree,Tree Leaning/Uprooted,9
Damaged Tree,Branch Cracked and Will Fall,7
Damaged Tree,Tree Trunk Split,2
DPR Internal,Aided/Injury,39
DPR Internal,Property,9
DPR Internal,Locker Break-in/Incident,2
Animal in a Park,Dog Off Leash,118
Animal in a Park,Dead Animal,34
Animal in a Park,Injured Wildlife,22
Animal in a Park,Animal Waste,19
Animal in a Park,Wildlife Sighting,9
Animal in a Park,Domestic Strays,8
Animal in a Park,Removing Wildlife,5
