Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,34
Violation of Park Rules,BBQ Outside Authorized Area,26
Violation of Park Rules,Unlicensed Vendors,22
Violation of Park Rules,Unsafe Use of Playground,18
Violation of Park Rules,Smoking,10
Violation of Park Rules,Unauthorized Posting of Signs,2
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,4
Overgrown Tree/Branches,Hitting Building,7
Overgrown Tree/Branches,Dead Branches in Tree,3
Overgrown Tree/Branches,Blocking Street,1
Maintenance or Facility,Structure - Outdoors,467
Maintenance or Facility,Garbage or Litter,197
Maintenance or Facility,Structure - Indoors,114
Maintenance or Facility,Rodent Sighting,71
Maintenance or Facility,Unsecured Facility,63
Maintenance or Facility,Hours of Operation,57
Maintenance or Facility,Snow or Ice,48
Maintenance or Facility,Grass/Weeds,29
Maintenance or Facility,Graffiti or Vandalism,28
Maintenance or Facility,Broken Glass,25
Illegal Tree Damage,Branches Damaged,15
Illegal Tree Damage,Unauthorized Tree Pruning,4
Illegal Tree Damage,Unauthorized Tree Removal,4
Illegal Tree Damage,Bicycle Chained to Tree,1
Illegal Tree Damage,Roots Damaged,1
Illegal Tree Damage,Trunk Damaged,1
Dead Tree,Dead/Dying Tree,6
Damaged Tree,Branch or Limb Has Fallen Down,25
Damaged Tree,Tree Alive - in Poor Condition,18
Damaged Tree,Branch Cracked and Will Fall,14
Damaged Tree,Tree Leaning/Uprooted,9
Damaged Tree,Entire Tree Has Fallen Down,8
Damaged Tree,Tree Trunk Split,2
DPR Internal,Aided/Injury,26
DPR Internal,Property,2
Animal in a Park,Dog Off Leash,37
Animal in a Park,Dead Animal,31
Animal in a Park,Animal Waste,30
Animal in a Park,Domestic Strays,23
Animal in a Park,Wildlife Sighting,7
Animal in a Park,Injured Wildlife,5
Animal in a Park,Removing Wildlife,5
