Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,51
Violation of Park Rules,Unsafe Use of Playground,34
Violation of Park Rules,BBQ Outside Authorized Area,23
Violation of Park Rules,Smoking,19
Violation of Park Rules,Biking/Rollerblading off Path,16
Violation of Park Rules,Unlicensed Vendors,11
Violation of Park Rules,Unauthorized Posting of Signs,4
Violation of Park Rules,Removing Flowers/Plants,1
Violation of Park Rules,Unauthorized Film Shoot,1
Overgrown Tree/Branches,Hitting Building,12
Overgrown Tree/Branches,Dead Branches in Tree,11
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Hitting Power/Phone Lines,2
Maintenance or Facility,Structure - Outdoors,809
Maintenance or Facility,Rodent Sighting,319
Maintenance or Facility,Garbage or Litter,304
Maintenance or Facility,Snow or Ice,113
Maintenance or Facility,Structure - Indoors,106
Maintenance or Facility,Grass/Weeds,87
Maintenance or Facility,Hours of Operation,86
Maintenance or Facility,Unsecured Facility,70
Maintenance or Facility,Graffiti or Vandalism,68
Maintenance or Facility,Broken Glass,15
Illegal Tree Damage,Branches Damaged,16
Illegal Tree Damage,Unauthorized Tree Removal,13
Illegal Tree Damage,Trunk Damaged,11
Illegal Tree Damage,Bicycle Chained to Tree,10
Illegal Tree Damage,Roots Damaged,5
Dead Tree,Dead/Dying Tree,26
Damaged Tree,Branch or Limb Has Fallen Down,39
Damaged Tree,Tree Alive - in Poor Condition,32
Damaged Tree,Branch Cracked and Will Fall,24
Damaged Tree,Entire Tree Has Fallen Down,15
Damaged Tree,Tree Leaning/Uprooted,10
Damaged Tree,Tree Trunk Split,7
DPR Internal,Aided/Injury,77
DPR Internal,Property,7
DPR Internal,Lost/Missing Person,2
DPR Internal,Beach/Pool Closure,1
Animal in a Park,Dog Off Leash,80
Animal in a Park,Dead Animal,42
Animal in a Park,Domestic Strays,23
Animal in a Park,Animal Waste,22
Animal in a Park,Injured Wildlife,15
Animal in a Park,Removing Wildlife,15
Animal in a Park,Wildlife Sighting,4
