Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,86
Violation of Park Rules,Unlicensed Vendors,32
Violation of Park Rules,Obstructing Public Use,31
Violation of Park Rules,Unsafe Use of Playground,11
Violation of Park Rules,Smoking,10
Violation of Park Rules,Unauthorized Posting of Signs,2
Violation of Park Rules,Removing Flowers/Plants,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,5
Overgrown Tree/Branches,Dead Branches in Tree,9
Overgrown Tree/Branches,Hitting Power/Phone Lines,3
Overgrown Tree/Branches,Blocking Street,1
Overgrown Tree/Branches,Clear Street Light,1
Overgrown Tree/Branches,Hitting Building,1
Maintenance or Facility,Structure - Outdoors,409
Maintenance or Facility,Garbage or Litter,129
Maintenance or Facility,Structure - Indoors,126
Maintenance or Facility,Hours of Operation,56
Maintenance or Facility,Unsecured Facility,50
Maintenance or Facility,Grass/Weeds,46
Maintenance or Facility,Snow or Ice,29
Maintenance or Facility,Graffiti or Vandalism,28
Maintenance or Facility,Rodent Sighting,23
Maintenance or Facility,Broken Glass,19
Illegal Tree Damage,Branches Damaged,8
Illegal Tree Damage,Unauthorized Tree Removal,6
Illegal Tree Damage,Bicycle Chained to Tree,3
Illegal Tree Damage,Roots Damaged,1
Illegal Tree Damage,Trunk Damaged,1
Dead Tree,Dead/Dying Tree,13
Damaged Tree,Tree Alive - in Poor Condition,19
Damaged Tree,Branch or Limb Has Fallen Down,15
Damaged Tree,Tree Leaning/Uprooted,10
Damaged Tree,Branch Cracked and Will Fall,6
Damaged Tree,Entire Tree Has Fallen Down,3
DPR Internal,Aided/Injury,34
DPR Internal,Lost/Missing Person,4
DPR Internal,Property,2
DPR Internal,Beach/Pool Closure,1
Animal in a Park,Dog Off Leash,59
Animal in a Park,Dead Animal,19
Animal in a Park,Animal Waste,16
Animal in a Park,Injured Wildlife,5
Animal in a Park,Domestic Strays,4
Animal in a Park,Wildlife Sighting,4
Animal in a Park,Removing Wildlife,1
