Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,7
Violation of Park Rules,Unsafe Use of Playground,7
Violation of Park Rules,BBQ Outside Authorized Area,3
Violation of Park Rules,Biking/Rollerblading off Path,1
Violation of Park Rules,Unlicensed Vendors,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,2
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Hitting Building,6
Overgrown Tree/Branches,Blocking Street,3
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Structure - Outdoors,199
Maintenance or Facility,Unsecured Facility,63
Maintenance or Facility,Hours of Operation,44
Maintenance or Facility,Garbage or Litter,41
Maintenance or Facility,Snow or Ice,29
Maintenance or Facility,Grass/Weeds,28
Maintenance or Facility,Structure - Indoors,20
Maintenance or Facility,Rodent Sighting,9
Maintenance or Facility,Graffiti or Vandalism,8
Maintenance or Facility,Broken Glass,4
Illegal Tree Damage,Branches Damaged,9
Illegal Tree Damage,Trunk Damaged,8
Illegal Tree Damage,Roots Damaged,5
Illegal Tree Damage,Unauthorized Tree Removal,3
Illegal Tree Damage,Bicycle Chained to Tree,1
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,7
Damaged Tree,Branch or Limb Has Fallen Down,23
Damaged Tree,Tree Alive - in Poor Condition,17
Damaged Tree,Branch Cracked and Will Fall,14
Damaged Tree,Tree Leaning/Uprooted,10
Damaged Tree,Entire Tree Has Fallen Down,7
Damaged Tree,Tree Trunk Split,2
DPR Internal,Aided/Injury,2
Animal in a Park,Dog Off Leash,12
Animal in a Park,Dead Animal,11
Animal in a Park,Wildlife Sighting,2
Animal in a Park,Animal Waste,1
Animal in a Park,Domestic Strays,1
Animal in a Park,Injured Wildlife,1
Animal in a Park,Removing Wildlife,1
