Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,94
Violation of Park Rules,Smoking,35
Violation of Park Rules,Obstructing Public Use,27
Violation of Park Rules,Unsafe Use of Playground,18
Violation of Park Rules,Unlicensed Vendors,14
Violation of Park Rules,Unauthorized Posting of Signs,4
Violation of Park Rules,Biking/Rollerblading off Path,1
Violation of Park Rules,Removing Flowers/Plants,1
Violation of Park Rules,Unauthorized Climbing,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,2
Overgrown Tree/Branches,Dead Branches in Tree,5
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Hitting Building,2
Overgrown Tree/Branches,Hitting Power/Phone Lines,1
Maintenance or Facility,Structure - Outdoors,516
Maintenance or Facility,Garbage or Litter,274
Maintenance or Facility,Structure - Indoors,98
Maintenance or Facility,Grass/Weeds,73
Maintenance or Facility,Graffiti or Vandalism,59
Maintenance or Facility,Unsecured Facility,42
Maintenance or Facility,Hours of Operation,39
Maintenance or Facility,Broken Glass,38
Maintenance or Facility,Snow or Ice,36
Maintenance or Facility,Rodent Sighting,35
Illegal Tree Damage,Branches Damaged,20
Illegal Tree Damage,Roots Damaged,6
Illegal Tree Damage,Unauthorized Tree Removal,4
Dead Tree,Dead/Dying Tree,15
Damaged Tree,Tree Alive - in Poor Condition,13
Damaged Tree,Branch or Limb Has Fallen Down,11
Damaged Tree,Entire Tree Has Fallen Down,9
Damaged Tree,Branch Cracked and Will Fall,8
Damaged Tree,Tree Leaning/Uprooted,8
Damaged Tree,Tree Trunk Split,3
DPR Internal,Aided/Injury,8
DPR Internal,Lost/Missing Person,1
Animal in a Park,Dog Off Leash,89
Animal in a Park,Dead Animal,23
Animal in a Park,Animal Waste,18
Animal in a Park,Injured Wildlife,15
Animal in a Park,Domestic Strays,6
Animal in a Park,Removing Wildlife,6
Animal in a Park,Wildlife Sighting,5
