Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,27
Violation of Park Rules,Unsafe Use of Playground,17
Violation of Park Rules,Smoking,7
Violation of Park Rules,BBQ Outside Authorized Area,5
Violation of Park Rules,Biking/Rollerblading off Path,2
Violation of Park Rules,Unauthorized Posting of Signs,1
Violation of Park Rules,Unlicensed Vendors,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,6
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Blocking Street,16
Overgrown Tree/Branches,Dead Branches in Tree,10
Overgrown Tree/Branches,Hitting Power/Phone Lines,9
Overgrown Tree/Branches,Hitting Building,4
Overgrown Tree/Branches,Clear Street Light,1
Maintenance or Facility,Structure - Outdoors,364
Maintenance or Facility,Garbage or Litter,274
Maintenance or Facility,Grass/Weeds,188
Maintenance or Facility,Graffiti or Vandalism,43
Maintenance or Facility,Unsecured Facility,39
Maintenance or Facility,Snow or Ice,37
Maintenance or Facility,Structure - Indoors,37
Maintenance or Facility,Hours of Operation,35
Maintenance or Facility,Rodent Sighting,32
Maintenance or Facility,Broken Glass,15
Illegal Tree Damage,Unauthorized Tree Removal,23
Illegal Tree Damage,Branches Damaged,11
Illegal Tree Damage,Unauthorized Tree Pruning,6
Illegal Tree Damage,Trunk Damaged,5
Illegal Tree Damage,Roots Damaged,2
Dead Tree,Dead/Dying Tree,43
Damaged Tree,Tree Alive - in Poor Condition,34
Damaged Tree,Branch or Limb Has Fallen Down,19
Damaged Tree,Entire Tree Has Fallen Down,9
Damaged Tree,Tree Leaning/Uprooted,8
Damaged Tree,Branch Cracked and Will Fall,6
Damaged Tree,Tree Trunk Split,3
DPR Internal,Aided/Injury,19
DPR Internal,Property,3
DPR Internal,Lost/Missing Person,2
DPR Internal,Illegal Dumping,1
Animal in a Park,Dog Off Leash,49
Animal in a Park,Injured Wildlife,42
Animal in a Park,Dead Animal,41
Animal in a Park,Animal Waste,20
Animal in a Park,Domestic Strays,12
Animal in a Park,Removing Wildlife,12
Animal in a Park,Wildlife Sighting,11
