Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,68
Violation of Park Rules,BBQ Outside Authorized Area,7
Violation of Park Rules,Unsafe Use of Playground,7
Violation of Park Rules,Biking/Rollerblading off Path,5
Violation of Park Rules,Unlicensed Vendors,5
Violation of Park Rules,Smoking,4
Violation of Park Rules,Removing Flowers/Plants,2
Violation of Park Rules,Unauthorized Climbing,1
Violation of Park Rules,Unauthorized Posting of Signs,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,18
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,1
Overgrown Tree/Branches,Hitting Building,9
Overgrown Tree/Branches,Blocking Street,6
Overgrown Tree/Branches,Dead Branches in Tree,4
Overgrown Tree/Branches,Hitting Power/Phone Lines,2
Overgrown Tree/Branches,Clear Street Light,1
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,318
Maintenance or Facility,Garbage or Litter,148
Maintenance or Facility,Grass/Weeds,83
Maintenance or Facility,Structure - Indoors,60
Maintenance or Facility,Unsecured Facility,54
Maintenance or Facility,Hours of Operation,35
Maintenance or Facility,Graffiti or Vandalism,28
Maintenance or Facility,Snow or Ice,21
Maintenance or Facility,Rodent Sighting,12
Maintenance or Facility,Broken Glass,8
Illegal Tree Damage,Branches Damaged,13
Illegal Tree Damage,Unauthorized Tree Pruning,7
Illegal Tree Damage,Unauthorized Tree Removal,6
Illegal Tree Damage,Roots Damaged,5
Illegal Tree Damage,Trunk Damaged,5
Dead Tree,Dead/Dying Tree,12
Damaged Tree,Tree Alive - in Poor Condition,24
Damaged Tree,Branch or Limb Has Fallen Down,23
Damaged Tree,Tree Leaning/Uprooted,18
Damaged Tree,Branch Cracked and Will Fall,14
Damaged Tree,Entire Tree Has Fallen Down,12
DPR Internal,Aided/Injury,91
DPR Internal,Property,22
DPR Internal,Lost/Missing Person,6
Animal in a Park,Injured Wildlife,47
Animal in a Park,Dead Animal,44
Animal in a Park,Dog Off Leash,26
Animal in a Park,Wildlife Sighting,17
Animal in a Park,Domestic Strays,16
Animal in a Park,Removing Wildlife,13
Animal in a Park,Animal Waste,12
