Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,351
Violation of Park Rules,Biking/Rollerblading off Path,64
Violation of Park Rules,BBQ Outside Authorized Area,57
Violation of Park Rules,Unlicensed Vendors,31
Violation of Park Rules,Smoking,25
Violation of Park Rules,Unsafe Use of Playground,23
Violation of Park Rules,Unauthorized Posting of Signs,7
Violation of Park Rules,Unauthorized Climbing,6
Violation of Park Rules,Use of Newly Seeded Lawn,6
Violation of Park Rules,Removing Flowers/Plants,2
Violation of Park Rules,Unauthorized Film Shoot,2
Overgrown Tree/Branches,Dead Branches in Tree,31
Overgrown Tree/Branches,Blocking Street,5
Overgrown Tree/Branches,Hitting Building,1
Maintenance or Facility,Structure - Outdoors,902
Maintenance or Facility,Rodent Sighting,398
Maintenance or Facility,Graffiti or Vandalism,314
Maintenance or Facility,Garbage or Litter,194
Maintenance or Facility,Structure - Indoors,116
Maintenance or Facility,Hours of Operation,68
Maintenance or Facility,Snow or Ice,68
Maintenance or Facility,Unsecured Facility,58
Maintenance or Facility,Grass/Weeds,46
Maintenance or Facility,Broken Glass,24
Illegal Tree Damage,Trunk Damaged,5
Illegal Tree Damage,Unauthorized Tree Removal,4
Illegal Tree Damage,Branches Damaged,2
Illegal Tree Damage,Roots Damaged,1
Dead Tree,Dead/Dying Tree,31
Damaged Tree,Branch Cracked and Will Fall,62
Damaged Tree,Entire Tree Has Fallen Down,50
Damaged Tree,Branch or Limb Has Fallen Down,27
Damaged Tree,Tree Leaning/Uprooted,9
Damaged Tree,Tree Alive - in Poor Condition,7
DPR Internal,Aided/Injury,133
DPR Internal,Property,15
DPR Internal,Lost/Missing Person,6
Animal in a Park,Dog Off Leash,217
Animal in a Park,Dead Animal,147
Animal in a Park,Injured Wildlife,90
Animal in a Park,Domestic Strays,54
Animal in a Park,Wildlife Sighting,48
Animal in a Park,Animal Waste,27
Animal in a Park,Removing Wildlife,22
