Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,537
Violation of Park Rules,Unlicensed Vendors,307
Violation of Park Rules,BBQ Outside Authorized Area,131
Violation of Park Rules,Biking/Rollerblading off Path,115
Violation of Park Rules,Smoking,53
Violation of Park Rules,Unsafe Use of Playground,29
Violation of Park Rules,Unauthorized Climbing,5
Violation of Park Rules,Unauthorized Posting of Signs,4
Violation of Park Rules,Unauthorized Film Shoot,3
Violation of Park Rules,Use of Newly Seeded Lawn,3
Violation of Park Rules,Removing Flowers/Plants,2
Overgrown Tree/Branches,Hitting Building,2
Overgrown Tree/Branches,Blocking Street,1
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Structure - Outdoors,572
Maintenance or Facility,Rodent Sighting,197
Maintenance or Facility,Garbage or Litter,119
Maintenance or Facility,Unsecured Facility,110
Maintenance or Facility,Structure - Indoors,98
Maintenance or Facility,Snow or Ice,49
Maintenance or Facility,Hours of Operation,36
Maintenance or Facility,Graffiti or Vandalism,34
Maintenance or Facility,Grass/Weeds,24
Maintenance or Facility,Broken Glass,18
Illegal Tree Damage,Bicycle Chained to Tree,8
Illegal Tree Damage,Unauthorized Tree Removal,8
Illegal Tree Damage,Branches Damaged,2
Illegal Tree Damage,Roots Damaged,1
Illegal Tree Damage,Trunk Damaged,1
Dead Tree,Dead/Dying Tree,5
Damaged Tree,Branch or Limb Has Fallen Down,16
Damaged Tree,Entire Tree Has Fallen Down,10
Damaged Tree,Tree Leaning/Uprooted,5
Damaged Tree,Branch Cracked and Will Fall,2
Damaged Tree,Tree Alive - in Poor Condition,1
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,232
DPR Internal,Property,46
DPR Internal,Lost/Missing Person,17
Animal in a Park,Injured Wildlife,334
Animal in a Park,Dead Animal,230
Animal in a Park,Wildlife Sighting,171
Animal in a Park,Dog Off Leash,151
Animal in a Park,Removing Wildlife,148
Animal in a Park,Domestic Strays,76
Animal in a Park,Animal Waste,34
