Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,1
Violation of Park Rules,Obstructing Public Use,1
Maintenance or Facility,Structure - Outdoors,33
Maintenance or Facility,Hours of Operation,3
Maintenance or Facility,Graffiti or Vandalism,2
Maintenance or Facility,Grass/Weeds,2
Maintenance or Facility,Structure - Indoors,2
Maintenance or Facility,Broken Glass,1
Maintenance or Facility,Garbage or Litter,1
Damaged Tree,Branch Cracked and Will Fall,1
Animal in a Park,Animal Waste,1
Animal in a Park,Dead Animal,1
