Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,93
Violation of Park Rules,Smoking,49
Violation of Park Rules,BBQ Outside Authorized Area,40
Violation of Park Rules,Unsafe Use of Playground,33
Violation of Park Rules,Unlicensed Vendors,31
Violation of Park Rules,Unauthorized Posting of Signs,10
Violation of Park Rules,Biking/Rollerblading off Path,9
Violation of Park Rules,Removing Flowers/Plants,2
Violation of Park Rules,Unauthorized Climbing,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,2
Overgrown Tree/Branches,Dead Branches in Tree,3
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,2
Overgrown Tree/Branches,Hitting Building,1
Maintenance or Facility,Structure - Outdoors,915
Maintenance or Facility,Rodent Sighting,614
Maintenance or Facility,Garbage or Litter,225
Maintenance or Facility,Structure - Indoors,135
Maintenance or Facility,Hours of Operation,129
Maintenance or Facility,Snow or Ice,109
Maintenance or Facility,Unsecured Facility,92
Maintenance or Facility,Graffiti or Vandalism,60
Maintenance or Facility,Grass/Weeds,48
Maintenance or Facility,Broken Glass,19
Illegal Tree Damage,Bicycle Chained to Tree,22
Illegal Tree Damage,Branches Damaged,11
Illegal Tree Damage,Roots Damaged,9
Illegal Tree Damage,Trunk Damaged,7
Illegal Tree Damage,Unauthorized Tree Removal,7
Dead Tree,Dead/Dying Tree,12
Damaged Tree,Tree Alive - in Poor Condition,28
Damaged Tree,Branch Cracked and Will Fall,20
Damaged Tree,Branch or Limb Has Fallen Down,14
Damaged Tree,Tree Leaning/Uprooted,5
Damaged Tree,Entire Tree Has Fallen Down,4
Damaged Tree,Tree Trunk Split,4
DPR Internal,Aided/Injury,68
DPR Internal,Locker Break-in/Incident,11
DPR Internal,Illegal Dumping,5
DPR Internal,Property,5
DPR Internal,Beach/Pool Closure,1
Animal in a Park,Dog Off Leash,60
Animal in a Park,Dead Animal,46
Animal in a Park,Removing Wildlife,17
Animal in a Park,Domestic Strays,16
Animal in a Park,Injured Wildlife,16
Animal in a Park,Wildlife Sighting,16
Animal in a Park,Animal Waste,9
