Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,68
Violation of Park Rules,Unlicensed Vendors,44
Violation of Park Rules,Smoking,29
Violation of Park Rules,Unsafe Use of Playground,7
Violation of Park Rules,BBQ Outside Authorized Area,5
Violation of Park Rules,Biking/Rollerblading off Path,4
Violation of Park Rules,Unauthorized Film Shoot,4
Violation of Park Rules,Unauthorized Posting of Signs,4
Violation of Park Rules,Use of Newly Seeded Lawn,2
Violation of Park Rules,Removing Flowers/Plants,1
Overgrown Tree/Branches,Dead Branches in Tree,1
Overgrown Tree/Branches,Hitting Building,1
Maintenance or Facility,Structure - Outdoors,143
Maintenance or Facility,Rodent Sighting,46
Maintenance or Facility,Graffiti or Vandalism,30
Maintenance or Facility,Snow or Ice,29
Maintenance or Facility,Garbage or Litter,25
Maintenance or Facility,Hours of Operation,22
Maintenance or Facility,Structure - Indoors,19
Maintenance or Facility,Unsecured Facility,11
Maintenance or Facility,Grass/Weeds,5
Maintenance or Facility,Broken Glass,3
Illegal Tree Damage,Unauthorized Tree Removal,3
Illegal Tree Damage,Bicycle Chained to Tree,2
Illegal Tree Damage,Branches Damaged,2
Illegal Tree Damage,Roots Damaged,1
Illegal Tree Damage,Trunk Damaged,1
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,6
Damaged Tree,Tree Alive - in Poor Condition,6
Damaged Tree,Branch or Limb Has Fallen Down,3
Damaged Tree,Branch Cracked and Will Fall,1
Damaged Tree,Entire Tree Has Fallen Down,1
Damaged Tree,Tree Leaning/Uprooted,1
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,56
DPR Internal,Property,4
DPR Internal,Locker Break-in/Incident,1
DPR Internal,Lost/Missing Person,1
Animal in a Park,Injured Wildlife,18
Animal in a Park,Wildlife Sighting,12
Animal in a Park,Dead Animal,11
Animal in a Park,Removing Wildlife,9
Animal in a Park,Dog Off Leash,8
Animal in a Park,Domestic Strays,4
Animal in a Park,Animal Waste,1
