Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,43
Violation of Park Rules,Obstructing Public Use,37
Violation of Park Rules,Unlicensed Vendors,12
Violation of Park Rules,Unsafe Use of Playground,8
Violation of Park Rules,Biking/Rollerblading off Path,6
Violation of Park Rules,Smoking,3
Violation of Park Rules,Unauthorized Film Shoot,1
Violation of Park Rules,Unauthorized Posting of Signs,1
Overgrown Tree/Branches,Dead Branches in Tree,7
Overgrown Tree/Branches,Hitting Building,4
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Hitting Power/Phone Lines,1
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,375
Maintenance or Facility,Garbage or Litter,190
Maintenance or Facility,Structure - Indoors,127
Maintenance or Facility,Hours of Operation,71
Maintenance or Facility,Rodent Sighting,40
Maintenance or Facility,Grass/Weeds,36
Maintenance or Facility,Unsecured Facility,35
Maintenance or Facility,Broken Glass,22
Maintenance or Facility,Snow or Ice,22
Maintenance or Facility,Graffiti or Vandalism,19
Illegal Tree Damage,Branches Damaged,12
Illegal Tree Damage,Roots Damaged,2
Illegal Tree Damage,Unauthorized Tree Pruning,2
Illegal Tree Damage,Unauthorized Tree Removal,2
Illegal Tree Damage,Bicycle Chained to Tree,1
Dead Tree,Dead/Dying Tree,4
Damaged Tree,Tree Alive - in Poor Condition,22
Damaged Tree,Branch or Limb Has Fallen Down,16
Damaged Tree,Entire Tree Has Fallen Down,13
Damaged Tree,Tree Leaning/Uprooted,11
Damaged Tree,Branch Cracked and Will Fall,1
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,18
DPR Internal,Property,1
Animal in a Park,Dead Animal,18
Animal in a Park,Dog Off Leash,16
Animal in a Park,Injured Wildlife,10
Animal in a Park,Removing Wildlife,9
Animal in a Park,Wildlife Sighting,8
Animal in a Park,Animal Waste,6
Animal in a Park,Domestic Strays,1
