Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,90
Violation of Park Rules,Unlicensed Vendors,16
Violation of Park Rules,Smoking,14
Violation of Park Rules,BBQ Outside Authorized Area,9
Violation of Park Rules,Unsafe Use of Playground,9
Violation of Park Rules,Biking/Rollerblading off Path,2
Violation of Park Rules,Unauthorized Climbing,2
Violation of Park Rules,Unauthorized Film Shoot,2
Violation of Park Rules,Unauthorized Posting of Signs,2
Overgrown Tree/Branches,Hitting Building,4
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Structure - Outdoors,311
Maintenance or Facility,Unsecured Facility,89
Maintenance or Facility,Graffiti or Vandalism,85
Maintenance or Facility,Structure - Indoors,81
Maintenance or Facility,Rodent Sighting,76
Maintenance or Facility,Garbage or Litter,56
Maintenance or Facility,Hours of Operation,54
Maintenance or Facility,Snow or Ice,43
Maintenance or Facility,Grass/Weeds,6
Maintenance or Facility,Broken Glass,2
Illegal Tree Damage,Trunk Damaged,5
Illegal Tree Damage,Bicycle Chained to Tree,4
Illegal Tree Damage,Branches Damaged,3
Illegal Tree Damage,Roots Damaged,3
Illegal Tree Damage,Unauthorized Tree Removal,1
Dead Tree,Dead/Dying Tree,6
Damaged Tree,Tree Alive - in Poor Condition,7
Damaged Tree,Branch Cracked and Will Fall,6
Damaged Tree,Branch or Limb Has Fallen Down,6
Damaged Tree,Entire Tree Has Fallen Down,5
Damaged Tree,Tree Leaning/Uprooted,1
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,79
DPR Internal,Property,18
DPR Internal,Locker Break-in/Incident,13
DPR Internal,Illegal Dumping,7
DPR Internal,Lost/Missing Person,4
Animal in a Park,Dog Off Leash,24
Animal in a Park,Animal Waste,12
Animal in a Park,Injured Wildlife,8
Animal in a Park,Domestic Strays,7
Animal in a Park,Dead Animal,5
Animal in a Park,Wildlife Sighting,2
