Complaint Type,Descriptor,calls
Violation of Park Rules,Smoking,132
Violation of Park Rules,BBQ Outside Authorized Area,120
Violation of Park Rules,Obstructing Public Use,89
Violation of Park Rules,Unsafe Use of Playground,46
Violation of Park Rules,Unlicensed Vendors,18
Violation of Park Rules,Biking/Rollerblading off Path,7
Violation of Park Rules,Removing Flowers/Plants,4
Violation of Park Rules,Use of Newly Seeded Lawn,2
Violation of Park Rules,Unauthorized Posting of Signs,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,2
Overgrown Tree/Branches,Hitting Building,9
Overgrown Tree/Branches,Dead Branches in Tree,6
Overgrown Tree/Branches,Clear Street Light,2
Maintenance or Facility,Structure - Outdoors,610
Maintenance or Facility,Garbage or Litter,165
Maintenance or Facility,Structure - Indoors,103
Maintenance or Facility,Graffiti or Vandalism,98
Maintenance or Facility,Rodent Sighting,98
Maintenance or Facility,Snow or Ice,90
Maintenance or Facility,Grass/Weeds,79
Maintenance or Facility,Unsecured Facility,73
Maintenance or Facility,Hours of Operation,38
Maintenance or Facility,Broken Glass,14
Illegal Tree Damage,Unauthorized Tree Removal,14
Illegal Tree Damage,Branches Damaged,5
Illegal Tree Damage,Unauthorized Tree Pruning,4
Illegal Tree Damage,Roots Damaged,3
Illegal Tree Damage,Trunk Damaged,1
Dead Tree,Dead/Dying Tree,8
Damaged Tree,Entire Tree Has Fallen Down,45
Damaged Tree,Tree Alive - in Poor Condition,29
Damaged Tree,Branch Cracked and Will Fall,23
Damaged Tree,Branch or Limb Has Fallen Down,15
Damaged Tree,Tree Leaning/Uprooted,5
Damaged Tree,Tree Trunk Split,3
DPR Internal,Aided/Injury,18
DPR Internal,Illegal Dumping,3
DPR Internal,Property,2
Animal in a Park,Dog Off Leash,442
Animal in a Park,Injured Wildlife,65
Animal in a Park,Wildlife Sighting,63
Animal in a Park,Dead Animal,56
Animal in a Park,Domestic Strays,51
Animal in a Park,Removing Wildlife,40
Animal in a Park,Animal Waste,15
