Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,123
Violation of Park Rules,BBQ Outside Authorized Area,57
Violation of Park Rules,Unlicensed Vendors,31
Violation of Park Rules,Unsafe Use of Playground,14
Violation of Park Rules,Smoking,10
Violation of Park Rules,Biking/Rollerblading off Path,8
Violation of Park Rules,Unauthorized Climbing,7
Violation of Park Rules,Removing Flowers/Plants,1
Violation of Park Rules,Unauthorized Posting of Signs,1
Violation of Park Rules,Use of Newly Seeded Lawn,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,1
Overgrown Tree/Branches,Dead Branches in Tree,3
Overgrown Tree/Branches,Hitting Building,2
Overgrown Tree/Branches,Clear Street Light,1
Maintenance or Facility,Structure - Outdoors,655
Maintenance or Facility,Garbage or Litter,355
Maintenance or Facility,Rodent Sighting,152
Maintenance or Facility,Structure - Indoors,134
Maintenance or Facility,Unsecured Facility,97
Maintenance or Facility,Hours of Operation,87
Maintenance or Facility,Snow or Ice,78
Maintenance or Facility,Graffiti or Vandalism,64
Maintenance or Facility,Grass/Weeds,64
Maintenance or Facility,Broken Glass,18
Illegal Tree Damage,Branches Damaged,5
Illegal Tree Damage,Trunk Damaged,2
Illegal Tree Damage,Bicycle Chained to Tree,1
Illegal Tree Damage,Roots Damaged,1
Illegal Tree Damage,Unauthorized Tree Pruning,1
Illegal Tree Damage,Unauthorized Tree Removal,1
Dead Tree,Dead/Dying Tree,8
Damaged Tree,Branch or Limb Has Fallen Down,8
Damaged Tree,Tree Alive - in Poor Condition,8
Damaged Tree,Branch Cracked and Will Fall,5
Damaged Tree,Entire Tree Has Fallen Down,5
Damaged Tree,Tree Leaning/Uprooted,2
Damaged Tree,Tree Trunk Split,2
DPR Internal,Aided/Injury,79
DPR Internal,Property,8
DPR Internal,Locker Break-in/Incident,2
Animal in a Park,Dog Off Leash,48
Animal in a Park,Dead Animal,35
Animal in a Park,Injured Wildlife,19
Animal in a Park,Domestic Strays,17
Animal in a Park,Animal Waste,15
Animal in a Park,Wildlife Sighting,13
Animal in a Park,Removing Wildlife,12
