Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,85
Violation of Park Rules,Smoking,28
Violation of Park Rules,Unsafe Use of Playground,25
Violation of Park Rules,BBQ Outside Authorized Area,11
Violation of Park Rules,Unauthorized Posting of Signs,10
Violation of Park Rules,Biking/Rollerblading off Path,4
Violation of Park Rules,Unlicensed Vendors,3
Violation of Park Rules,Removing Flowers/Plants,1
Violation of Park Rules,Use of Newly Seeded Lawn,1
Overgrown Tree/Branches,Dead Branches in Tree,3
Overgrown Tree/Branches,Hitting Building,3
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,339
Maintenance or Facility,Rodent Sighting,102
Maintenance or Facility,Structure - Indoors,86
Maintenance or Facility,Garbage or Litter,64
Maintenance or Facility,Graffiti or Vandalism,47
Maintenance or Facility,Hours of Operation,40
Maintenance or Facility,Unsecured Facility,37
Maintenance or Facility,Snow or Ice,35
Maintenance or Facility,Grass/Weeds,25
Maintenance or Facility,Broken Glass,8
Illegal Tree Damage,Trunk Damaged,3
Illegal Tree Damage,Unauthorized Tree Removal,3
Illegal Tree Damage,Bicycle Chained to Tree,2
Illegal Tree Damage,Branches Damaged,2
Illegal Tree Damage,Roots Damaged,1
Dead Tree,Dead/Dying Tree,8
Damaged Tree,Branch Cracked and Will Fall,8
Damaged Tree,Tree Alive - in Poor Condition,6
Damaged Tree,Tree Leaning/Uprooted,6
Damaged Tree,Branch or Limb Has Fallen Down,5
Damaged Tree,Entire Tree Has Fallen Down,5
DPR Internal,Aided/Injury,28
DPR Internal,Locker Break-in/Incident,4
DPR Internal,Property,4
DPR Internal,Beach/Pool Closure,1
Animal in a Park,Dog Off Leash,70
Animal in a Park,Dead Animal,32
Animal in a Park,Animal Waste,23
Animal in a Park,Domestic Strays,8
Animal in a Park,Injured Wildlife,6
Animal in a Park,Wildlife Sighting,3
Animal in a Park,Removing Wildlife,1
