Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,68
Violation of Park Rules,Biking/Rollerblading off Path,51
Violation of Park Rules,BBQ Outside Authorized Area,14
Violation of Park Rules,Unlicensed Vendors,14
Violation of Park Rules,Unsafe Use of Playground,11
Violation of Park Rules,Smoking,10
Violation of Park Rules,Unauthorized Posting of Signs,2
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,1
Overgrown Tree/Branches,Dead Branches in Tree,5
Overgrown Tree/Branches,Hitting Building,3
Overgrown Tree/Branches,Blocking Street,1
Maintenance or Facility,Structure - Outdoors,291
Maintenance or Facility,Rodent Sighting,267
Maintenance or Facility,Snow or Ice,93
Maintenance or Facility,Garbage or Litter,58
Maintenance or Facility,Hours of Operation,46
Maintenance or Facility,Unsecured Facility,36
Maintenance or Facility,Structure - Indoors,31
Maintenance or Facility,Graffiti or Vandalism,22
Maintenance or Facility,Grass/Weeds,11
Maintenance or Facility,Broken Glass,5
Illegal Tree Damage,Branches Damaged,12
Illegal Tree Damage,Roots Damaged,4
Illegal Tree Damage,Unauthorized Tree Removal,3
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,7
Damaged Tree,Branch or Limb Has Fallen Down,8
Damaged Tree,Tree Alive - in Poor Condition,6
Damaged Tree,Entire Tree Has Fallen Down,3
Damaged Tree,Tree Leaning/Uprooted,3
Damaged Tree,Branch Cracked and Will Fall,2
Damaged Tree,Tree Trunk Split,2
DPR Internal,Aided/Injury,26
DPR Internal,Locker Break-in/Incident,19
DPR Internal,Property,2
DPR Internal,Illegal Dumping,1
Animal in a Park,Dog Off Leash,28
Animal in a Park,Dead Animal,26
Animal in a Park,Animal Waste,16
Animal in a Park,Injured Wildlife,15
Animal in a Park,Wildlife Sighting,14
Animal in a Park,Removing Wildlife,7
Animal in a Park,Domestic Strays,5
