Complaint Type,Descriptor,calls
Violation of Park Rules,Unlicensed Vendors,81
Violation of Park Rules,Obstructing Public Use,74
Violation of Park Rules,Smoking,12
Violation of Park Rules,Biking/Rollerblading off Path,11
Violation of Park Rules,Unsafe Use of Playground,6
Violation of Park Rules,Unauthorized Climbing,2
Violation of Park Rules,Unauthorized Posting of Signs,2
Violation of Park Rules,BBQ Outside Authorized Area,1
Violation of Park Rules,Removing Flowers/Plants,1
Violation of Park Rules,Use of Newly Seeded Lawn,1
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Structure - Outdoors,239
Maintenance or Facility,Rodent Sighting,99
Maintenance or Facility,Garbage or Litter,63
Maintenance or Facility,Graffiti or Vandalism,55
Maintenance or Facility,Snow or Ice,33
Maintenance or Facility,Structure - Indoors,27
Maintenance or Facility,Hours of Operation,19
Maintenance or Facility,Unsecured Facility,13
Maintenance or Facility,Grass/Weeds,10
Maintenance or Facility,Broken Glass,5
Illegal Tree Damage,Branches Damaged,3
Illegal Tree Damage,Roots Damaged,1
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,2
Damaged Tree,Branch Cracked and Will Fall,7
Damaged Tree,Branch or Limb Has Fallen Down,5
Damaged Tree,Entire Tree Has Fallen Down,5
Damaged Tree,Tree Alive - in Poor Condition,1
Damaged Tree,Tree Leaning/Uprooted,1
DPR Internal,Aided/Injury,145
DPR Internal,Property,52
DPR Internal,Lost/Missing Person,8
DPR Internal,Illegal Dumping,1
Animal in a Park,Dog Off Leash,51
Animal in a Park,Injured Wildlife,24
Animal in a Park,Dead Animal,23
Animal in a Park,Wildlife Sighting,16
Animal in a Park,Animal Waste,13
Animal in a Park,Domestic Strays,6
Animal in a Park,Removing Wildlife,6
