Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,53
Violation of Park Rules,Smoking,14
Violation of Park Rules,Unsafe Use of Playground,11
Violation of Park Rules,Unlicensed Vendors,8
Violation of Park Rules,Biking/Rollerblading off Path,5
Violation of Park Rules,Unauthorized Posting of Signs,3
Violation of Park Rules,BBQ Outside Authorized Area,2
Violation of Park Rules,Removing Flowers/Plants,1
Violation of Park Rules,Unauthorized Climbing,1
Violation of Park Rules,Unauthorized Film Shoot,1
Violation of Park Rules,Use of Newly Seeded Lawn,1
Overgrown Tree/Branches,Dead Branches in Tree,6
Overgrown Tree/Branches,Blocking Street,1
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,447
Maintenance or Facility,Rodent Sighting,186
Maintenance or Facility,Garbage or Litter,112
Maintenance or Facility,Snow or Ice,56
Maintenance or Facility,Structure - Indoors,55
Maintenance or Facility,Unsecured Facility,48
Maintenance or Facility,Graffiti or Vandalism,33
Maintenance or Facility,Hours of Operation,23
Maintenance or Facility,Grass/Weeds,17
Maintenance or Facility,Broken Glass,5
Illegal Tree Damage,Unauthorized Tree Removal,4
Illegal Tree Damage,Branches Damaged,3
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,2
Damaged Tree,Tree Alive - in Poor Condition,11
Damaged Tree,Branch or Limb Has Fallen Down,6
Damaged Tree,Entire Tree Has Fallen Down,6
Damaged Tree,Branch Cracked and Will Fall,5
Damaged Tree,Tree Leaning/Uprooted,4
DPR Internal,Aided/Injury,17
DPR Internal,Locker Break-in/Incident,1
DPR Internal,Property,1
Animal in a Park,Dog Off Leash,56
Animal in a Park,Dead Animal,37
Animal in a Park,Injured Wildlife,19
Animal in a Park,Animal Waste,15
Animal in a Park,Wildlife Sighting,6
Animal in a Park,Domestic Strays,4
Animal in a Park,Removing Wildlife,3
