Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,102
Violation of Park Rules,Obstructing Public Use,42
Violation of Park Rules,Unlicensed Vendors,41
Violation of Park Rules,Smoking,3
Violation of Park Rules,Biking/Rollerblading off Path,2
Violation of Park Rules,Unsafe Use of Playground,1
Overgrown Tree/Branches,Hitting Building,3
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Structure - Outdoors,205
Maintenance or Facility,Garbage or Litter,181
Maintenance or Facility,Snow or Ice,80
Maintenance or Facility,Rodent Sighting,68
Maintenance or Facility,Structure - Indoors,62
Maintenance or Facility,Graffiti or Vandalism,31
Maintenance or Facility,Hours of Operation,30
Maintenance or Facility,Grass/Weeds,25
Maintenance or Facility,Unsecured Facility,21
Maintenance or Facility,Broken Glass,10
Illegal Tree Damage,Trunk Damaged,5
Illegal Tree Damage,Unauthorized Tree Removal,4
Illegal Tree Damage,Roots Damaged,3
Illegal Tree Damage,Bicycle Chained to Tree,2
Illegal Tree Damage,Branches Damaged,1
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,14
Damaged Tree,Tree Alive - in Poor Condition,10
Damaged Tree,Branch Cracked and Will Fall,7
Damaged Tree,Branch or Limb Has Fallen Down,6
Damaged Tree,Entire Tree Has Fallen Down,6
Damaged Tree,Tree Leaning/Uprooted,1
DPR Internal,Aided/Injury,35
DPR Internal,Property,2
DPR Internal,Locker Break-in/Incident,1
Animal in a Park,Dead Animal,30
Animal in a Park,Dog Off Leash,29
Animal in a Park,Domestic Strays,20
Animal in a Park,Animal Waste,15
Animal in a Park,Injured Wildlife,9
Animal in a Park,Wildlife Sighting,6
Animal in a Park,Removing Wildlife,2
