Complaint Type,Descriptor,calls
Violation of Park Rules,Unlicensed Vendors,35
Violation of Park Rules,BBQ Outside Authorized Area,10
Violation of Park Rules,Obstructing Public Use,9
Violation of Park Rules,Smoking,5
Violation of Park Rules,Unsafe Use of Playground,3
Violation of Park Rules,Unauthorized Climbing,2
Overgrown Tree/Branches,Blocking Street,1
Overgrown Tree/Branches,Dead Branches in Tree,1
Overgrown Tree/Branches,Hitting Building,1
Overgrown Tree/Branches,Hitting Power/Phone Lines,1
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,156
Maintenance or Facility,Garbage or Litter,99
Maintenance or Facility,Snow or Ice,42
Maintenance or Facility,Hours of Operation,39
Maintenance or Facility,Rodent Sighting,34
Maintenance or Facility,Grass/Weeds,26
Maintenance or Facility,Structure - Indoors,23
Maintenance or Facility,Unsecured Facility,23
Maintenance or Facility,Graffiti or Vandalism,18
Maintenance or Facility,Broken Glass,5
Illegal Tree Damage,Roots Damaged,4
Illegal Tree Damage,Unauthorized Tree Removal,4
Illegal Tree Damage,Branches Damaged,2
Dead Tree,Dead/Dying Tree,7
Damaged Tree,Entire Tree Has Fallen Down,6
Damaged Tree,Tree Alive - in Poor Condition,4
Damaged Tree,Tree Trunk Split,3
Damaged Tree,Branch Cracked and Will Fall,2
Damaged Tree,Branch or Limb Has Fallen Down,2
Damaged Tree,Tree Leaning/Uprooted,1
DPR Internal,Aided/Injury,2
DPR Internal,Property,1
Animal in a Park,Domestic Strays,14
Animal in a Park,Wildlife Sighting,13
Animal in a Park,Dead Animal,12
Animal in a Park,Dog Off Leash,12
Animal in a Park,Animal Waste,10
Animal in a Park,Injured Wildlife,6
Animal in a Park,Removing Wildlife,3
