Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,5
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,9
Maintenance or Facility,Garbage or Litter,5
Maintenance or Facility,Grass/Weeds,5
Maintenance or Facility,Unsecured Facility,2
Maintenance or Facility,Graffiti or Vandalism,1
Maintenance or Facility,Rodent Sighting,1
Maintenance or Facility,Structure - Indoors,1
Damaged Tree,Tree Alive - in Poor Condition,1
Damaged Tree,Tree Leaning/Uprooted,1
DPR Internal,Aided/Injury,5
Animal in a Park,Domestic Strays,2
Animal in a Park,Dead Animal,1
Animal in a Park,Dog Off Leash,1
