Complaint Type,Descriptor,calls
Violation of Park Rules,Unlicensed Vendors,51
Violation of Park Rules,Obstructing Public Use,24
Violation of Park Rules,BBQ Outside Authorized Area,15
Violation of Park Rules,Smoking,4
Violation of Park Rules,Unsafe Use of Playground,4
Violation of Park Rules,Removing Flowers/Plants,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,2
Overgrown Tree/Branches,Hitting Building,2
Overgrown Tree/Branches,Dead Branches in Tree,1
Overgrown Tree/Branches,Hitting Power/Phone Lines,1
Maintenance or Facility,Structure - Outdoors,144
Maintenance or Facility,Garbage or Litter,47
Maintenance or Facility,Rodent Sighting,38
Maintenance or Facility,Hours of Operation,29
Maintenance or Facility,Structure - Indoors,24
Maintenance or Facility,Unsecured Facility,21
Maintenance or Facility,Grass/Weeds,16
Maintenance or Facility,Snow or Ice,15
Maintenance or Facility,Graffiti or Vandalism,8
Maintenance or Facility,Broken Glass,3
Illegal Tree Damage,Roots Damaged,3
Illegal Tree Damage,Unauthorized Tree Removal,2
Dead Tree,Dead/Dying Tree,4
Damaged Tree,Tree Leaning/Uprooted,5
Damaged Tree,Branch or Limb Has Fallen Down,3
Damaged Tree,Entire Tree Has Fallen Down,1
Damaged Tree,Tree Alive - in Poor Condition,1
DPR Internal,Aided/Injury,16
Animal in a Park,Dog Off Leash,21
Animal in a Park,Domestic Strays,13
Animal in a Park,Animal Waste,8
Animal in a Park,Dead Animal,7
Animal in a Park,Injured Wildlife,4
Animal in a Park,Wildlife Sighting,2
Animal in a Park,Removing Wildlife,1
