Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,100
Violation of Park Rules,Obstructing Public Use,76
Violation of Park Rules,Unlicensed Vendors,48
Violation of Park Rules,Unsafe Use of Playground,9
Violation of Park Rules,Biking/Rollerblading off Path,7
Violation of Park Rules,Smoking,4
Violation of Park Rules,Unauthorized Climbing,2
Violation of Park Rules,Removing Flowers/Plants,1
Violation of Park Rules,Unauthorized Film Shoot,1
Violation of Park Rules,Use of Newly Seeded Lawn,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,3
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Dead Branches in Tree,4
Overgrown Tree/Branches,Blocking Street,3
Overgrown Tree/Branches,Hitting Building,3
Overgrown Tree/Branches,Hitting Power/Phone Lines,2
Overgrown Tree/Branches,Clear Street Light,1
Maintenance or Facility,Structure - Outdoors,261
Maintenance or Facility,Garbage or Litter,115
Maintenance or Facility,Grass/Weeds,53
Maintenance or Facility,Hours of Operation,50
Maintenance or Facility,Structure - Indoors,47
Maintenance or Facility,Snow or Ice,38
Maintenance or Facility,Unsecured Facility,34
Maintenance or Facility,Graffiti or Vandalism,27
Maintenance or Facility,Rodent Sighting,18
Maintenance or Facility,Broken Glass,6
Illegal Tree Damage,Branches Damaged,15
Illegal Tree Damage,Trunk Damaged,4
Illegal Tree Damage,Unauthorized Tree Removal,4
Illegal Tree Damage,Roots Damaged,3
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,15
Damaged Tree,Tree Alive - in Poor Condition,22
Damaged Tree,Branch or Limb Has Fallen Down,12
Damaged Tree,Entire Tree Has Fallen Down,12
Damaged Tree,Tree Leaning/Uprooted,6
Damaged Tree,Branch Cracked and Will Fall,5
Damaged Tree,Tree Trunk Split,3
DPR Internal,Aided/Injury,33
DPR Internal,Property,4
DPR Internal,Illegal Dumping,1
DPR Internal,Lost/Missing Person,1
Animal in a Park,Domestic Strays,41
Animal in a Park,Dog Off Leash,34
Animal in a Park,Injured Wildlife,21
Animal in a Park,Dead Animal,19
Animal in a Park,Animal Waste,13
Animal in a Park,Removing Wildlife,11
Animal in a Park,Wildlife Sighting,11
