Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,211
Violation of Park Rules,Obstructing Public Use,143
Violation of Park Rules,Unlicensed Vendors,29
Violation of Park Rules,Unsafe Use of Playground,16
Violation of Park Rules,Smoking,6
Violation of Park Rules,Biking/Rollerblading off Path,3
Violation of Park Rules,Unauthorized Climbing,3
Violation of Park Rules,Unauthorized Film Shoot,1
Violation of Park Rules,Use of Newly Seeded Lawn,1
Overgrown Tree/Branches,Hitting Building,7
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Clear Street Light,1
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Garbage or Litter,403
Maintenance or Facility,Structure - Outdoors,316
Maintenance or Facility,Snow or Ice,90
Maintenance or Facility,Rodent Sighting,69
Maintenance or Facility,Grass/Weeds,68
Maintenance or Facility,Hours of Operation,53
Maintenance or Facility,Structure - Indoors,52
Maintenance or Facility,Graffiti or Vandalism,46
Maintenance or Facility,Unsecured Facility,43
Maintenance or Facility,Broken Glass,17
Illegal Tree Damage,Trunk Damaged,4
Illegal Tree Damage,Unauthorized Tree Removal,3
Illegal Tree Damage,Branches Damaged,2
Illegal Tree Damage,Roots Damaged,1
Dead Tree,Dead/Dying Tree,11
Damaged Tree,Entire Tree Has Fallen Down,14
Damaged Tree,Branch or Limb Has Fallen Down,12
Damaged Tree,Tree Leaning/Uprooted,6
Damaged Tree,Branch Cracked and Will Fall,4
Damaged Tree,Tree Alive - in Poor Condition,4
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,82
DPR Internal,Property,6
DPR Internal,Locker Break-in/Incident,2
Animal in a Park,Domestic Strays,56
Animal in a Park,Dog Off Leash,54
Animal in a Park,Dead Animal,38
Animal in a Park,Injured Wildlife,20
Animal in a Park,Animal Waste,11
Animal in a Park,Removing Wildlife,9
Animal in a Park,Wildlife Sighting,9
