Complaint Type,Descriptor,calls
Violation of Park Rules,Unlicensed Vendors,104
Violation of Park Rules,Obstructing Public Use,28
Violation of Park Rules,BBQ Outside Authorized Area,25
Violation of Park Rules,Unsafe Use of Playground,7
Violation of Park Rules,Smoking,2
Violation of Park Rules,Biking/Rollerblading off Path,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,3
Overgrown Tree/Branches,Hitting Building,3
Overgrown Tree/Branches,Blocking Street,1
Maintenance or Facility,Structure - Outdoors,210
Maintenance or Facility,Garbage or Litter,67
Maintenance or Facility,Hours of Operation,40
Maintenance or Facility,Structure - Indoors,39
Maintenance or Facility,Unsecured Facility,33
Maintenance or Facility,Grass/Weeds,29
Maintenance or Facility,Graffiti or Vandalism,15
Maintenance or Facility,Rodent Sighting,13
Maintenance or Facility,Snow or Ice,12
Maintenance or Facility,Broken Glass,4
Illegal Tree Damage,Branches Damaged,4
Illegal Tree Damage,Trunk Damaged,3
Illegal Tree Damage,Roots Damaged,2
Illegal Tree Damage,Unauthorized Tree Removal,1
Dead Tree,Dead/Dying Tree,10
Damaged Tree,Tree Alive - in Poor Condition,14
Damaged Tree,Tree Leaning/Uprooted,9
Damaged Tree,Branch Cracked and Will Fall,5
Damaged Tree,Entire Tree Has Fallen Down,5
Damaged Tree,Branch or Limb Has Fallen Down,4
DPR Internal,Aided/Injury,6
DPR Internal,Property,2
DPR Internal,Illegal Dumping,1
Animal in a Park,Dead Animal,21
Animal in a Park,Domestic Strays,21
Animal in a Park,Dog Off Leash,14
Animal in a Park,Injured Wildlife,8
Animal in a Park,Animal Waste,7
Animal in a Park,Removing Wildlife,4
Animal in a Park,Wildlife Sighting,4
