Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,7
Violation of Park Rules,Obstructing Public Use,6
Violation of Park Rules,Unlicensed Vendors,1
Violation of Park Rules,Unsafe Use of Playground,1
Maintenance or Facility,Structure - Outdoors,30
Maintenance or Facility,Garbage or Litter,7
Maintenance or Facility,Structure - Indoors,4
Maintenance or Facility,Graffiti or Vandalism,3
Maintenance or Facility,Grass/Weeds,3
Maintenance or Facility,Snow or Ice,3
Maintenance or Facility,Hours of Operation,2
Damaged Tree,Branch or Limb Has Fallen Down,1
Damaged Tree,Entire Tree Has Fallen Down,1
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,2
Animal in a Park,Domestic Strays,5
Animal in a Park,Dog Off Leash,4
Animal in a Park,Animal Waste,3
Animal in a Park,Injured Wildlife,2
Animal in a Park,Removing Wildlife,2
Animal in a Park,Dead Animal,1
Animal in a Park,Wildlife Sighting,1
