Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,18
Violation of Park Rules,Unlicensed Vendors,15
Violation of Park Rules,Obstructing Public Use,11
Violation of Park Rules,Unsafe Use of Playground,6
Violation of Park Rules,Smoking,2
Overgrown Tree/Branches,Hitting Building,2
Overgrown Tree/Branches,Clear Street Light,1
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Structure - Outdoors,122
Maintenance or Facility,Garbage or Litter,72
Maintenance or Facility,Hours of Operation,32
Maintenance or Facility,Structure - Indoors,21
Maintenance or Facility,Grass/Weeds,18
Maintenance or Facility,Snow or Ice,16
Maintenance or Facility,Unsecured Facility,11
Maintenance or Facility,Graffiti or Vandalism,8
Maintenance or Facility,Rodent Sighting,7
Maintenance or Facility,Broken Glass,2
Illegal Tree Damage,Roots Damaged,1
Damaged Tree,Entire Tree Has Fallen Down,3
Damaged Tree,Branch Cracked and Will Fall,2
Damaged Tree,Branch or Limb Has Fallen Down,1
Damaged Tree,Tree Alive - in Poor Condition,1
DPR Internal,Aided/Injury,13
DPR Internal,Beach/Pool Closure,1
DPR Internal,Illegal Dumping,1
DPR Internal,Locker Break-in/Incident,1
DPR Internal,Lost/Missing Person,1
Animal in a Park,Dog Off Leash,15
Animal in a Park,Domestic Strays,13
Animal in a Park,Dead Animal,8
Animal in a Park,Animal Waste,3
Animal in a Park,Injured Wildlife,3
Animal in a Park,Removing Wildlife,3
Animal in a Park,Wildlife Sighting,3
