Complaint Type,Descriptor,calls
Violation of Park Rules,Unlicensed Vendors,93
Violation of Park Rules,Obstructing Public Use,33
Violation of Park Rules,BBQ Outside Authorized Area,19
Violation of Park Rules,Biking/Rollerblading off Path,7
Violation of Park Rules,Unsafe Use of Playground,6
Violation of Park Rules,Smoking,4
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,9
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,2
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Hitting Building,5
Overgrown Tree/Branches,Blocking Street,4
Overgrown Tree/Branches,Hitting Power/Phone Lines,4
Overgrown Tree/Branches,Dead Branches in Tree,3
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,131
Maintenance or Facility,Garbage or Litter,45
Maintenance or Facility,Grass/Weeds,27
Maintenance or Facility,Structure - Indoors,22
Maintenance or Facility,Snow or Ice,17
Maintenance or Facility,Graffiti or Vandalism,11
Maintenance or Facility,Hours of Operation,11
Maintenance or Facility,Unsecured Facility,9
Maintenance or Facility,Rodent Sighting,4
Illegal Tree Damage,Branches Damaged,6
Illegal Tree Damage,Trunk Damaged,5
Illegal Tree Damage,Unauthorized Tree Removal,5
Illegal Tree Damage,Roots Damaged,4
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,11
Damaged Tree,Tree Leaning/Uprooted,16
Damaged Tree,Branch or Limb Has Fallen Down,14
Damaged Tree,Tree Alive - in Poor Condition,13
Damaged Tree,Branch Cracked and Will Fall,5
Damaged Tree,Entire Tree Has Fallen Down,2
DPR Internal,Aided/Injury,15
DPR Internal,Illegal Dumping,1
DPR Internal,Property,1
Animal in a Park,Dead Animal,22
Animal in a Park,Dog Off Leash,7
Animal in a Park,Removing Wildlife,7
Animal in a Park,Domestic Strays,5
Animal in a Park,Animal Waste,4
Animal in a Park,Injured Wildlife,4
Animal in a Park,Wildlife Sighting,4
