Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,6
Violation of Park Rules,Unlicensed Vendors,6
Violation of Park Rules,BBQ Outside Authorized Area,5
Violation of Park Rules,Unsafe Use of Playground,5
Violation of Park Rules,Smoking,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,1
Overgrown Tree/Branches,Hitting Power/Phone Lines,8
Overgrown Tree/Branches,Blocking Street,2
Overgrown Tree/Branches,Dead Branches in Tree,2
Overgrown Tree/Branches,Clear Street Light,1
Overgrown Tree/Branches,Hitting Building,1
Maintenance or Facility,Structure - Outdoors,116
Maintenance or Facility,Garbage or Litter,25
Maintenance or Facility,Grass/Weeds,25
Maintenance or Facility,Unsecured Facility,20
Maintenance or Facility,Hours of Operation,14
Maintenance or Facility,Structure - Indoors,12
Maintenance or Facility,Snow or Ice,10
Maintenance or Facility,Graffiti or Vandalism,7
Maintenance or Facility,Rodent Sighting,7
Maintenance or Facility,Broken Glass,5
Illegal Tree Damage,Trunk Damaged,2
Illegal Tree Damage,Roots Damaged,1
Illegal Tree Damage,Unauthorized Tree Removal,1
Dead Tree,Dead/Dying Tree,4
Damaged Tree,Branch or Limb Has Fallen Down,11
Damaged Tree,Tree Leaning/Uprooted,11
Damaged Tree,Entire Tree Has Fallen Down,7
Damaged Tree,Branch Cracked and Will Fall,6
Damaged Tree,Tree Alive - in Poor Condition,6
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,10
DPR Internal,Illegal Dumping,2
DPR Internal,Property,2
Animal in a Park,Domestic Strays,17
Animal in a Park,Injured Wildlife,6
Animal in a Park,Wildlife Sighting,6
Animal in a Park,Dead Animal,5
Animal in a Park,Dog Off Leash,3
Animal in a Park,Animal Waste,1
