Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,21
Violation of Park Rules,BBQ Outside Authorized Area,11
Violation of Park Rules,Smoking,7
Violation of Park Rules,Unlicensed Vendors,3
Violation of Park Rules,Unsafe Use of Playground,3
Violation of Park Rules,Unauthorized Climbing,1
Overgrown Tree/Branches,Hitting Building,5
Maintenance or Facility,Structure - Outdoors,191
Maintenance or Facility,Garbage or Litter,91
Maintenance or Facility,Hours of Operation,38
Maintenance or Facility,Rodent Sighting,34
Maintenance or Facility,Unsecured Facility,30
Maintenance or Facility,Snow or Ice,29
Maintenance or Facility,Structure - Indoors,25
Maintenance or Facility,Grass/Weeds,24
Maintenance or Facility,Graffiti or Vandalism,19
Maintenance or Facility,Broken Glass,3
Illegal Tree Damage,Unauthorized Tree Removal,3
Illegal Tree Damage,Branches Damaged,1
Dead Tree,Dead/Dying Tree,2
Damaged Tree,Tree Alive - in Poor Condition,7
Damaged Tree,Branch or Limb Has Fallen Down,4
Damaged Tree,Entire Tree Has Fallen Down,3
Damaged Tree,Tree Trunk Split,2
Damaged Tree,Branch Cracked and Will Fall,1
Damaged Tree,Tree Leaning/Uprooted,1
DPR Internal,Aided/Injury,22
DPR Internal,Lost/Missing Person,4
DPR Internal,Locker Break-in/Incident,3
DPR Internal,Illegal Dumping,1
Animal in a Park,Domestic Strays,57
Animal in a Park,Dog Off Leash,17
Animal in a Park,Dead Animal,15
Animal in a Park,Injured Wildlife,14
Animal in a Park,Removing Wildlife,6
Animal in a Park,Wildlife Sighting,6
Animal in a Park,Animal Waste,2
